source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
832,1,1,0.6552258698228214,0.35571951428932036,True,3,"[""duration_months"", ""credit_amount"", ""savings_account_bonds""]",0.4412885335638144,"{""status_checking_account"": ""A11"", ""duration_months"": 4, ""credit_history"": ""A30"", ""purpose"": ""A49"", ""credit_amount"": 338, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A75"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 29, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
832,1,2,0.6552258698228214,0.3771939052912313,True,3,"[""duration_months"", ""credit_amount"", ""savings_account_bonds""]",0.4412885335638144,"{""status_checking_account"": ""A11"", ""duration_months"": 4, ""credit_history"": ""A30"", ""purpose"": ""A49"", ""credit_amount"": 338, ""savings_account_bonds"": ""A63"", ""present_employment_since"": ""A75"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 29, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
832,1,3,0.6552258698228214,0.3831244697863276,True,3,"[""duration_months"", ""credit_amount"", ""housing""]",0.4412885335638144,"{""status_checking_account"": ""A11"", ""duration_months"": 4, ""credit_history"": ""A30"", ""purpose"": ""A49"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A75"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 29, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
832,1,4,0.6552258698228214,0.3831244697863276,True,4,"[""duration_months"", ""credit_amount"", ""other_debtors_guarantors"", ""housing""]",0.4912885335638144,"{""status_checking_account"": ""A11"", ""duration_months"": 4, ""credit_history"": ""A30"", ""purpose"": ""A49"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A75"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 29, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
915,2,1,0.6492836302218605,0.3865836074483053,True,2,"[""duration_months"", ""credit_amount""]",0.5307068087966964,"{""status_checking_account"": ""A12"", ""duration_months"": 4, ""credit_history"": ""A30"", ""purpose"": ""A410"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 1, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 2, ""property"": ""A122"", ""age_years"": 32, ""other_installment_plans"": ""A141"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A202""}"
915,2,2,0.6492836302218605,0.43424872086720184,True,3,"[""duration_months"", ""credit_amount"", ""savings_account_bonds""]",0.48070680879669647,"{""status_checking_account"": ""A12"", ""duration_months"": 28, ""credit_history"": ""A30"", ""purpose"": ""A410"", ""credit_amount"": 338, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 1, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 2, ""property"": ""A122"", ""age_years"": 32, ""other_installment_plans"": ""A141"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A202""}"
915,2,3,0.6492836302218605,0.4537027105664597,True,3,"[""duration_months"", ""credit_amount"", ""savings_account_bonds""]",0.5140401421300298,"{""status_checking_account"": ""A12"", ""duration_months"": 20, ""credit_history"": ""A30"", ""purpose"": ""A410"", ""credit_amount"": 338, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 1, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 2, ""property"": ""A122"", ""age_years"": 32, ""other_installment_plans"": ""A141"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A202""}"
915,2,4,0.6492836302218605,0.44389397005136133,True,3,"[""duration_months"", ""credit_amount"", ""other_installment_plans""]",0.5223734754633631,"{""status_checking_account"": ""A12"", ""duration_months"": 18, ""credit_history"": ""A30"", ""purpose"": ""A410"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 1, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 2, ""property"": ""A122"", ""age_years"": 32, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A202""}"
818,3,1,0.6395663880508571,0.46671996238360125,True,3,"[""duration_months"", ""credit_amount"", ""other_debtors_guarantors""]",0.39806972054163065,"{""status_checking_account"": ""A11"", ""duration_months"": 24, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 43, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
818,3,2,0.6395663880508571,0.4375770009503856,True,4,"[""duration_months"", ""credit_amount"", ""savings_account_bonds"", ""housing""]",0.4230697205416306,"{""status_checking_account"": ""A11"", ""duration_months"": 30, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 338, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A102"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 43, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
431,4,1,0.6368576757959588,0.4203179490740244,True,3,"[""credit_amount"", ""savings_account_bonds"", ""other_installment_plans""]",0.3110823009699414,"{""status_checking_account"": ""A12"", ""duration_months"": 24, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 338, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A102"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 29, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 2, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
431,4,2,0.6368576757959588,0.3862796411350222,True,3,"[""duration_months"", ""credit_amount"", ""other_debtors_guarantors""]",0.34441563430327476,"{""status_checking_account"": ""A12"", ""duration_months"": 4, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 29, ""other_installment_plans"": ""A141"", ""housing"": ""A152"", ""existing_credits_at_bank"": 2, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
431,4,3,0.6368576757959588,0.40124404721900714,True,4,"[""credit_amount"", ""savings_account_bonds"", ""other_debtors_guarantors"", ""other_installment_plans""]",0.3610823009699414,"{""status_checking_account"": ""A12"", ""duration_months"": 24, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 338, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 29, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 2, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
431,4,4,0.6368576757959588,0.4435775271200236,True,4,"[""duration_months"", ""credit_amount"", ""other_debtors_guarantors"", ""other_installment_plans""]",0.32774896763660805,"{""status_checking_account"": ""A12"", ""duration_months"": 20, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 29, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 2, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
11,5,1,0.6344311196605154,0.42934668409311744,True,2,"[""duration_months"", ""credit_amount""]",0.25958417362911745,"{""status_checking_account"": ""A11"", ""duration_months"": 4, ""credit_history"": ""A32"", ""purpose"": ""A49"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A72"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A122"", ""age_years"": 24, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
11,5,2,0.6344311196605154,0.42934668409311744,True,3,"[""duration_months"", ""credit_amount"", ""other_debtors_guarantors""]",0.30125084029578414,"{""status_checking_account"": ""A11"", ""duration_months"": 6, ""credit_history"": ""A32"", ""purpose"": ""A49"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A72"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 4, ""property"": ""A122"", ""age_years"": 24, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
11,5,3,0.6344311196605154,0.42934668409311744,True,3,"[""duration_months"", ""credit_amount"", ""housing""]",0.30958417362911744,"{""status_checking_account"": ""A11"", ""duration_months"": 4, ""credit_history"": ""A32"", ""purpose"": ""A49"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A72"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A122"", ""age_years"": 24, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
11,5,4,0.6344311196605154,0.4513761158726239,True,3,"[""duration_months"", ""credit_amount"", ""other_installment_plans""]",0.30958417362911744,"{""status_checking_account"": ""A11"", ""duration_months"": 4, ""credit_history"": ""A32"", ""purpose"": ""A49"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A72"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A122"", ""age_years"": 24, ""other_installment_plans"": ""A142"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
395,7,1,0.6334225922808993,0.4499971927177724,True,3,"[""duration_months"", ""credit_amount"", ""housing""]",0.3318796216268126,"{""status_checking_account"": ""A12"", ""duration_months"": 24, ""credit_history"": ""A33"", ""purpose"": ""A46"", ""credit_amount"": 338, ""savings_account_bonds"": ""A62"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 3, ""property"": ""A124"", ""age_years"": 32, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
395,7,2,0.6334225922808993,0.44096338695417664,True,3,"[""duration_months"", ""credit_amount"", ""savings_account_bonds""]",0.3443796216268126,"{""status_checking_account"": ""A12"", ""duration_months"": 21, ""credit_history"": ""A33"", ""purpose"": ""A46"", ""credit_amount"": 338, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 3, ""property"": ""A124"", ""age_years"": 32, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
395,7,3,0.6334225922808993,0.4549323086248376,True,3,"[""duration_months"", ""credit_amount"", ""savings_account_bonds""]",0.27794223566695475,"{""status_checking_account"": ""A12"", ""duration_months"": 4, ""credit_history"": ""A33"", ""purpose"": ""A46"", ""credit_amount"": 7485, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 3, ""property"": ""A124"", ""age_years"": 32, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
395,7,4,0.6334225922808993,0.4779529154502892,True,3,"[""duration_months"", ""credit_amount"", ""savings_account_bonds""]",0.27970925765869586,"{""status_checking_account"": ""A12"", ""duration_months"": 4, ""credit_history"": ""A33"", ""purpose"": ""A46"", ""credit_amount"": 7393, ""savings_account_bonds"": ""A63"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 3, ""property"": ""A124"", ""age_years"": 32, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
602,8,1,0.6263349551474167,0.4560230667936296,True,2,"[""duration_months"", ""credit_amount""]",0.11212426774224529,"{""status_checking_account"": ""A12"", ""duration_months"": 4, ""credit_history"": ""A31"", ""purpose"": ""A46"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 34, ""other_installment_plans"": ""A141"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A172"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
602,8,2,0.6263349551474167,0.4229124972012874,True,3,"[""duration_months"", ""credit_amount"", ""other_installment_plans""]",0.15379093440891195,"{""status_checking_account"": ""A12"", ""duration_months"": 6, ""credit_history"": ""A31"", ""purpose"": ""A46"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 34, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A172"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
602,8,3,0.6263349551474167,0.4560230667936296,True,3,"[""duration_months"", ""credit_amount"", ""other_debtors_guarantors""]",0.16212426774224528,"{""status_checking_account"": ""A12"", ""duration_months"": 4, ""credit_history"": ""A31"", ""purpose"": ""A46"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 34, ""other_installment_plans"": ""A141"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A172"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
602,8,4,0.6263349551474167,0.4421827441666085,True,3,"[""duration_months"", ""credit_amount"", ""housing""]",0.16212426774224528,"{""status_checking_account"": ""A12"", ""duration_months"": 4, ""credit_history"": ""A31"", ""purpose"": ""A46"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 34, ""other_installment_plans"": ""A141"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A172"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
788,9,1,0.6256160025798018,0.4911945035661686,True,5,"[""duration_months"", ""credit_amount"", ""savings_account_bonds"", ""other_installment_plans"", ""housing""]",0.3470277537693268,"{""status_checking_account"": ""A12"", ""duration_months"": 4, ""credit_history"": ""A33"", ""purpose"": ""A46"", ""credit_amount"": 5511, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A75"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 50, ""other_installment_plans"": ""A142"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
788,9,2,0.6256160025798018,0.43585403292697283,True,5,"[""duration_months"", ""credit_amount"", ""savings_account_bonds"", ""installment_rate_percent"", ""housing""]",0.392217660616537,"{""status_checking_account"": ""A12"", ""duration_months"": 11, ""credit_history"": ""A33"", ""purpose"": ""A46"", ""credit_amount"": 338, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A75"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 50, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
938,10,1,0.6256160025798018,0.4687463817107568,True,4,"[""duration_months"", ""credit_amount"", ""savings_account_bonds"", ""housing""]",0.3642802266397772,"{""status_checking_account"": ""A12"", ""duration_months"": 24, ""credit_history"": ""A32"", ""purpose"": ""A46"", ""credit_amount"": 338, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 42, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
938,10,2,0.6256160025798018,0.47708671230196154,True,5,"[""duration_months"", ""credit_amount"", ""savings_account_bonds"", ""other_installment_plans"", ""housing""]",0.4142802266397772,"{""status_checking_account"": ""A12"", ""duration_months"": 24, ""credit_history"": ""A32"", ""purpose"": ""A46"", ""credit_amount"": 338, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 42, ""other_installment_plans"": ""A142"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
938,10,3,0.6256160025798018,0.498126661064822,True,4,"[""duration_months"", ""credit_amount"", ""installment_rate_percent"", ""housing""]",0.3642802266397772,"{""status_checking_account"": ""A12"", ""duration_months"": 18, ""credit_history"": ""A32"", ""purpose"": ""A46"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 42, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
