source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
14973,1,1,0.8238077062097532,0.4950050418830302,True,15,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT2"", ""PAY_AMT3""]",1.5618175651699802,"{""LIMIT_BAL"": 30000, ""SEX"": 1, ""EDUCATION"": 3, ""MARRIAGE"": 1, ""AGE"": 55, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": -1, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": -2, ""BILL_AMT1"": 1512, ""BILL_AMT2"": 2458, ""BILL_AMT3"": 664, ""BILL_AMT4"": 1814, ""BILL_AMT5"": 0, ""BILL_AMT6"": 0, ""PAY_AMT1"": 1000, ""PAY_AMT2"": 664, ""PAY_AMT3"": 1500, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
14973,1,2,0.8238077062097532,0.4792498151630809,True,13,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT2""]",1.891874586121655,"{""LIMIT_BAL"": 30000, ""SEX"": 1, ""EDUCATION"": 3, ""MARRIAGE"": 1, ""AGE"": 55, ""PAY_0"": -1, ""PAY_2"": -1, ""PAY_3"": -1, ""PAY_4"": -1, ""PAY_5"": -1, ""PAY_6"": -2, ""BILL_AMT1"": -165580, ""BILL_AMT2"": 0, ""BILL_AMT3"": -61506, ""BILL_AMT4"": 3055, ""BILL_AMT5"": 0, ""BILL_AMT6"": 0, ""PAY_AMT1"": 0, ""PAY_AMT2"": 2476, ""PAY_AMT3"": 0, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
14973,1,3,0.8238077062097532,0.4692438218548798,True,17,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT2"", ""PAY_AMT3"", ""PAY_AMT4"", ""PAY_AMT6""]",1.464488372309518,"{""LIMIT_BAL"": 30000, ""SEX"": 1, ""EDUCATION"": 3, ""MARRIAGE"": 1, ""AGE"": 55, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 4921, ""BILL_AMT2"": 3810, ""BILL_AMT3"": 3890, ""BILL_AMT4"": 2199, ""BILL_AMT5"": 2209, ""BILL_AMT6"": 1429, ""PAY_AMT1"": 1500, ""PAY_AMT2"": 2000, ""PAY_AMT3"": 2000, ""PAY_AMT4"": 400, ""PAY_AMT5"": 0, ""PAY_AMT6"": 500}"
17862,2,1,0.8238077062097532,0.4950050418830302,True,14,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT3""]",1.2512647418978597,"{""LIMIT_BAL"": 10000, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 1, ""AGE"": 26, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": -1, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 3213, ""BILL_AMT2"": 2797, ""BILL_AMT3"": 0, ""BILL_AMT4"": 1660, ""BILL_AMT5"": 660, ""BILL_AMT6"": 660, ""PAY_AMT1"": 1000, ""PAY_AMT2"": 0, ""PAY_AMT3"": 1660, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
17862,2,2,0.8238077062097532,0.4887263031403006,True,13,"[""PAY_0"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT2"", ""PAY_AMT3""]",1.437318773579113,"{""LIMIT_BAL"": 10000, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 1, ""AGE"": 26, ""PAY_0"": -1, ""PAY_2"": 2, ""PAY_3"": -1, ""PAY_4"": -1, ""PAY_5"": -1, ""PAY_6"": -2, ""BILL_AMT1"": 10252, ""BILL_AMT2"": 5677, ""BILL_AMT3"": 2735, ""BILL_AMT4"": 4564, ""BILL_AMT5"": 0, ""BILL_AMT6"": 0, ""PAY_AMT1"": 0, ""PAY_AMT2"": 2735, ""PAY_AMT3"": 4564, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
17862,2,3,0.8238077062097532,0.48740551395365167,True,13,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT3""]",1.5914630292508105,"{""LIMIT_BAL"": 10000, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 1, ""AGE"": 26, ""PAY_0"": -1, ""PAY_2"": -2, ""PAY_3"": -1, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": -1, ""BILL_AMT1"": -165580, ""BILL_AMT2"": 780, ""BILL_AMT3"": 390, ""BILL_AMT4"": -81334, ""BILL_AMT5"": 1490, ""BILL_AMT6"": 390, ""PAY_AMT1"": 0, ""PAY_AMT2"": 0, ""PAY_AMT3"": 1000, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
27160,3,1,0.8238077062097532,0.4867512029838647,True,14,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT3""]",0.7795969991516508,"{""LIMIT_BAL"": 20000, ""SEX"": 1, ""EDUCATION"": 3, ""MARRIAGE"": 1, ""AGE"": 40, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": -1, ""PAY_5"": -1, ""PAY_6"": -2, ""BILL_AMT1"": 8400, ""BILL_AMT2"": 2000, ""BILL_AMT3"": 0, ""BILL_AMT4"": 2000, ""BILL_AMT5"": 0, ""BILL_AMT6"": 0, ""PAY_AMT1"": 1000, ""PAY_AMT2"": 0, ""PAY_AMT3"": 2000, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
27160,3,2,0.8238077062097532,0.47340052916073466,True,14,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT2""]",0.8587995384931232,"{""LIMIT_BAL"": 20000, ""SEX"": 1, ""EDUCATION"": 3, ""MARRIAGE"": 1, ""AGE"": 40, ""PAY_0"": -1, ""PAY_2"": -1, ""PAY_3"": -1, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": -2, ""BILL_AMT1"": 1716, ""BILL_AMT2"": 4019, ""BILL_AMT3"": 2500, ""BILL_AMT4"": 1000, ""BILL_AMT5"": 0, ""BILL_AMT6"": 0, ""PAY_AMT1"": 4027, ""PAY_AMT2"": 2500, ""PAY_AMT3"": 0, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
27160,3,3,0.8238077062097532,0.4950050418830302,True,17,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT2"", ""PAY_AMT3"", ""PAY_AMT4"", ""PAY_AMT5""]",0.6202226349001735,"{""LIMIT_BAL"": 20000, ""SEX"": 1, ""EDUCATION"": 3, ""MARRIAGE"": 1, ""AGE"": 40, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 5556, ""BILL_AMT2"": 3684, ""BILL_AMT3"": 4298, ""BILL_AMT4"": 3882, ""BILL_AMT5"": 3563, ""BILL_AMT6"": 3242, ""PAY_AMT1"": 1028, ""PAY_AMT2"": 1032, ""PAY_AMT3"": 1000, ""PAY_AMT4"": 72, ""PAY_AMT5"": 369, ""PAY_AMT6"": 0}"
27160,3,4,0.8238077062097532,0.48093588432245876,True,17,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT2"", ""PAY_AMT3"", ""PAY_AMT4"", ""PAY_AMT6""]",0.7472130946834288,"{""LIMIT_BAL"": 20000, ""SEX"": 1, ""EDUCATION"": 3, ""MARRIAGE"": 1, ""AGE"": 40, ""PAY_0"": 0, ""PAY_2"": -1, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 1360, ""BILL_AMT2"": 1301, ""BILL_AMT3"": 2257, ""BILL_AMT4"": 2641, ""BILL_AMT5"": 5041, ""BILL_AMT6"": 248, ""PAY_AMT1"": 1301, ""PAY_AMT2"": 1267, ""PAY_AMT3"": 1648, ""PAY_AMT4"": 4041, ""PAY_AMT5"": 0, ""PAY_AMT6"": 3422}"
