source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
522,1,1,1.0,0.0,True,3,"[""duration_months"", ""credit_amount"", ""housing""]",0.21474959185633344,"{""status_checking_account"": ""A11"", ""duration_months"": 11, ""credit_history"": ""A30"", ""purpose"": ""A42"", ""credit_amount"": 6568, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 53, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 2, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
522,1,2,1.0,0.0,True,3,"[""duration_months"", ""other_installment_plans"", ""housing""]",0.2833333333333333,"{""status_checking_account"": ""A11"", ""duration_months"": 4, ""credit_history"": ""A30"", ""purpose"": ""A42"", ""credit_amount"": 7119, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 53, ""other_installment_plans"": ""A142"", ""housing"": ""A152"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 2, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
522,1,3,1.0,0.0,True,4,"[""duration_months"", ""credit_amount"", ""other_installment_plans"", ""housing""]",0.41357437818111975,"{""status_checking_account"": ""A11"", ""duration_months"": 4, ""credit_history"": ""A30"", ""purpose"": ""A42"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 53, ""other_installment_plans"": ""A141"", ""housing"": ""A152"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 2, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
522,1,4,1.0,0.0,True,2,"[""duration_months"", ""existing_credits_at_bank""]",0.2,"{""status_checking_account"": ""A11"", ""duration_months"": 12, ""credit_history"": ""A30"", ""purpose"": ""A42"", ""credit_amount"": 7119, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 53, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 2, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
602,2,1,1.0,0.0,True,2,"[""duration_months"", ""housing""]",0.125,"{""status_checking_account"": ""A12"", ""duration_months"": 6, ""credit_history"": ""A31"", ""purpose"": ""A46"", ""credit_amount"": 1837, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 34, ""other_installment_plans"": ""A141"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A172"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
602,2,2,1.0,0.0,True,3,"[""savings_account_bonds"", ""other_installment_plans"", ""housing""]",0.15,"{""status_checking_account"": ""A12"", ""duration_months"": 24, ""credit_history"": ""A31"", ""purpose"": ""A46"", ""credit_amount"": 1837, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 34, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A172"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
602,2,3,1.0,0.0,True,3,"[""duration_months"", ""other_installment_plans"", ""housing""]",0.1625,"{""status_checking_account"": ""A12"", ""duration_months"": 9, ""credit_history"": ""A31"", ""purpose"": ""A46"", ""credit_amount"": 1837, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 34, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A172"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
602,2,4,1.0,0.0,True,3,"[""duration_months"", ""other_installment_plans"", ""housing""]",0.175,"{""status_checking_account"": ""A12"", ""duration_months"": 6, ""credit_history"": ""A31"", ""purpose"": ""A46"", ""credit_amount"": 1837, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 34, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A172"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
853,3,1,1.0,0.368421052631579,True,1,"[""duration_months""]",0.0125,"{""status_checking_account"": ""A11"", ""duration_months"": 15, ""credit_history"": ""A31"", ""purpose"": ""A40"", ""credit_amount"": 1442, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 32, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 2, ""job"": ""A172"", ""people_liable_maintenance"": 2, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
853,3,2,1.0,0.368421052631579,True,3,"[""duration_months"", ""credit_amount"", ""housing""]",0.06267286084701815,"{""status_checking_account"": ""A11"", ""duration_months"": 15, ""credit_history"": ""A31"", ""purpose"": ""A40"", ""credit_amount"": 1433, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 32, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 2, ""job"": ""A172"", ""people_liable_maintenance"": 2, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
