source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
51478,1,1,1.0,0.7995430312261995,False,2,"[""DebtRatio"", ""NumberOfTimes90DaysLate""]",0.20679385899447067,"{""RevolvingUtilizationOfUnsecuredLines"": 1.0, ""age"": 32.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.1, ""MonthlyIncome"": 5000.0, ""NumberOfOpenCreditLinesAndLoans"": 2.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
51478,1,2,1.0,0.0,True,3,"[""RevolvingUtilizationOfUnsecuredLines"", ""DebtRatio"", ""NumberOfOpenCreditLinesAndLoans""]",0.061294339229793195,"{""RevolvingUtilizationOfUnsecuredLines"": 0.8, ""age"": 32.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.1, ""MonthlyIncome"": 5000.0, ""NumberOfOpenCreditLinesAndLoans"": 1.0, ""NumberOfTimes90DaysLate"": 2.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
51478,1,3,1.0,0.0,True,3,"[""RevolvingUtilizationOfUnsecuredLines"", ""DebtRatio"", ""NumberOfTimes90DaysLate""]",0.35386344126837493,"{""RevolvingUtilizationOfUnsecuredLines"": 0.3, ""age"": 32.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 5000.0, ""NumberOfOpenCreditLinesAndLoans"": 2.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
51478,1,4,1.0,0.0,True,3,"[""RevolvingUtilizationOfUnsecuredLines"", ""DebtRatio"", ""NumberOfTimes90DaysLate""]",0.41061421837213585,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 32.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 5000.0, ""NumberOfOpenCreditLinesAndLoans"": 2.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
142053,2,1,1.0,0.0,True,4,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfTimes90DaysLate""]",0.3136575575405594,"{""RevolvingUtilizationOfUnsecuredLines"": 0.8, ""age"": 49.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.1, ""MonthlyIncome"": 4900.0, ""NumberOfOpenCreditLinesAndLoans"": 5.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 1.0}"
142053,2,2,1.0,0.0,True,4,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfTimes90DaysLate""]",0.38932526034557396,"{""RevolvingUtilizationOfUnsecuredLines"": 0.4, ""age"": 49.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.1, ""MonthlyIncome"": 4900.0, ""NumberOfOpenCreditLinesAndLoans"": 5.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 1.0}"
142053,2,3,1.0,0.0,True,4,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfTimes90DaysLate""]",0.45394108300163294,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 49.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.2, ""MonthlyIncome"": 4900.0, ""NumberOfOpenCreditLinesAndLoans"": 5.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 1.0}"
142053,2,4,1.0,0.0,True,4,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfTimes90DaysLate""]",0.45394108300163294,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 49.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.2, ""MonthlyIncome"": 4900.0, ""NumberOfOpenCreditLinesAndLoans"": 5.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 1.0}"
11617,3,1,1.0,0.0,True,1,"[""RevolvingUtilizationOfUnsecuredLines""]",0.170252312394357,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 26.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 1200.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 1.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
11617,3,2,1.0,0.0,True,1,"[""NumberOfTimes90DaysLate""]",0.1000000189169257,"{""RevolvingUtilizationOfUnsecuredLines"": 1.0, ""age"": 26.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 1200.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
11617,3,3,1.0,0.0,True,2,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTimes90DaysLate""]",0.25133538669310335,"{""RevolvingUtilizationOfUnsecuredLines"": 0.2, ""age"": 26.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 1200.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
11617,3,4,1.0,0.0,True,2,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTimes90DaysLate""]",0.2891692380956107,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 26.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 1200.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
90202,4,1,1.0,0.0,True,2,"[""DebtRatio"", ""NumberOfTimes90DaysLate""]",0.20537031362907937,"{""RevolvingUtilizationOfUnsecuredLines"": 1.0, ""age"": 24.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 1.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 3000.0, ""NumberOfOpenCreditLinesAndLoans"": 4.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
90202,4,2,1.0,0.0,True,4,"[""RevolvingUtilizationOfUnsecuredLines"", ""DebtRatio"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate""]",0.31662157096816285,"{""RevolvingUtilizationOfUnsecuredLines"": 0.5, ""age"": 24.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 1.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 3000.0, ""NumberOfOpenCreditLinesAndLoans"": 3.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
90202,4,3,1.0,0.0,True,4,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfTimes90DaysLate""]",0.456705681405257,"{""RevolvingUtilizationOfUnsecuredLines"": 0.2, ""age"": 24.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 3000.0, ""NumberOfOpenCreditLinesAndLoans"": 4.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
90202,4,4,1.0,0.0,True,4,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfTimes90DaysLate""]",0.4756226071065107,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 24.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 3000.0, ""NumberOfOpenCreditLinesAndLoans"": 4.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
107351,5,1,1.0,0.0,True,6,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",0.6980431682488895,"{""RevolvingUtilizationOfUnsecuredLines"": 0.8, ""age"": 42.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 1.0, ""DebtRatio"": 0.4, ""MonthlyIncome"": 4987.0, ""NumberOfOpenCreditLinesAndLoans"": 4.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 2.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 2.0}"
107351,5,2,1.0,0.0,True,6,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""MonthlyIncome"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",0.9330833357636805,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 42.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.4, ""MonthlyIncome"": 5000.0, ""NumberOfOpenCreditLinesAndLoans"": 5.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 2.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 2.0}"
107351,5,3,1.0,0.0,True,6,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""MonthlyIncome"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",0.9330833357636805,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 42.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.4, ""MonthlyIncome"": 5000.0, ""NumberOfOpenCreditLinesAndLoans"": 5.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 2.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 2.0}"
107351,5,4,1.0,0.0,True,6,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""MonthlyIncome"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",0.9916878965596012,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 42.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 5000.0, ""NumberOfOpenCreditLinesAndLoans"": 5.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 2.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 2.0}"
251,6,1,1.0,0.9331555555555555,False,3,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio""]",0.7881341584282708,"{""RevolvingUtilizationOfUnsecuredLines"": 0.7, ""age"": 58.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 3500.0, ""NumberOfOpenCreditLinesAndLoans"": 12.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
251,6,2,1.0,0.0,True,3,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio""]",0.9016357126357926,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 58.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 3500.0, ""NumberOfOpenCreditLinesAndLoans"": 12.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
251,6,3,1.0,0.0,True,4,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfOpenCreditLinesAndLoans""]",0.903651239103479,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 58.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.1, ""MonthlyIncome"": 3500.0, ""NumberOfOpenCreditLinesAndLoans"": 13.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
251,6,4,1.0,0.0,True,4,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfOpenCreditLinesAndLoans""]",0.9372193050037128,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 58.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 3500.0, ""NumberOfOpenCreditLinesAndLoans"": 11.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
135898,7,1,1.0,0.0,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",0.9743340445595061,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 55.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 3985.0, ""NumberOfOpenCreditLinesAndLoans"": 3.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 2.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
135898,7,2,1.0,0.0,True,6,"[""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""MonthlyIncome"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",0.7748018809743568,"{""RevolvingUtilizationOfUnsecuredLines"": 1.0, ""age"": 55.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.3, ""MonthlyIncome"": 3994.0, ""NumberOfOpenCreditLinesAndLoans"": 5.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 2.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
