source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
938,1,1,0.9613654100752708,0.325045528403607,True,6,"[""duration_months"", ""credit_amount"", ""savings_account_bonds"", ""installment_rate_percent"", ""other_debtors_guarantors"", ""housing""]",0.5476135599731105,"{""status_checking_account"": ""A12"", ""duration_months"": 4, ""credit_history"": ""A32"", ""purpose"": ""A46"", ""credit_amount"": 338, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 42, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
938,1,2,0.9613654100752708,0.47635093906348974,True,6,"[""duration_months"", ""credit_amount"", ""savings_account_bonds"", ""installment_rate_percent"", ""other_installment_plans"", ""housing""]",0.5476135599731105,"{""status_checking_account"": ""A12"", ""duration_months"": 4, ""credit_history"": ""A32"", ""purpose"": ""A46"", ""credit_amount"": 338, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 42, ""other_installment_plans"": ""A142"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
938,1,3,0.9613654100752708,0.4038156850876308,True,4,"[""duration_months"", ""credit_amount"", ""installment_rate_percent"", ""other_debtors_guarantors""]",0.4726135599731105,"{""status_checking_account"": ""A12"", ""duration_months"": 4, ""credit_history"": ""A32"", ""purpose"": ""A46"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 1, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 42, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
938,1,4,0.9613654100752708,0.2717546159376929,True,4,"[""duration_months"", ""credit_amount"", ""savings_account_bonds"", ""installment_rate_percent""]",0.4726135599731105,"{""status_checking_account"": ""A12"", ""duration_months"": 4, ""credit_history"": ""A32"", ""purpose"": ""A46"", ""credit_amount"": 338, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 1, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 42, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
832,2,1,0.9585021701713755,0.33860353421435724,True,4,"[""duration_months"", ""credit_amount"", ""savings_account_bonds"", ""housing""]",0.4579552002304811,"{""status_checking_account"": ""A11"", ""duration_months"": 12, ""credit_history"": ""A30"", ""purpose"": ""A49"", ""credit_amount"": 338, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A75"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 29, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
832,2,2,0.9585021701713755,0.29662416990345175,True,4,"[""duration_months"", ""credit_amount"", ""savings_account_bonds"", ""housing""]",0.4912885335638144,"{""status_checking_account"": ""A11"", ""duration_months"": 4, ""credit_history"": ""A30"", ""purpose"": ""A49"", ""credit_amount"": 338, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A75"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 29, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
832,2,3,0.9585021701713755,0.42406639741563973,True,4,"[""duration_months"", ""credit_amount"", ""savings_account_bonds"", ""other_installment_plans""]",0.4912885335638144,"{""status_checking_account"": ""A11"", ""duration_months"": 4, ""credit_history"": ""A30"", ""purpose"": ""A49"", ""credit_amount"": 338, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A75"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 29, ""other_installment_plans"": ""A142"", ""housing"": ""A151"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
818,3,1,0.9562100953881818,0.3773190069608508,True,3,"[""duration_months"", ""credit_amount"", ""savings_account_bonds""]",0.4230697205416306,"{""status_checking_account"": ""A11"", ""duration_months"": 18, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 338, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A102"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 43, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
818,3,2,0.9562100953881818,0.3014775750828223,True,3,"[""duration_months"", ""credit_amount"", ""savings_account_bonds""]",0.48140305387496396,"{""status_checking_account"": ""A11"", ""duration_months"": 4, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 338, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A102"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 43, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
818,3,3,0.9562100953881818,0.25976562393833164,True,3,"[""duration_months"", ""credit_amount"", ""savings_account_bonds""]",0.48140305387496396,"{""status_checking_account"": ""A11"", ""duration_months"": 4, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 338, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A102"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 43, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
