source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
85093,2,1,1.0,0.29324063431648495,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse"", ""NumberOfDependents""]",29.78916923809561,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 50.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 28733.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 2.0}"
85093,2,2,1.0,0.2809344618906325,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse"", ""NumberOfDependents""]",29.88916923809561,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 50.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 28733.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 1.0}"
85093,2,3,1.0,0.26894820630099503,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse"", ""NumberOfDependents""]",29.98916923809561,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 50.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 28733.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
85093,2,4,1.0,0.26894820630099503,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse"", ""NumberOfDependents""]",29.98916923809561,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 50.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 28733.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
56547,5,1,1.0,0.4914763538014392,True,4,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",29.48916923809561,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 52.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 1.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 3700.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
56547,5,2,1.0,0.4914763538014392,True,4,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",29.48916923809561,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 52.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 1.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 3700.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
56547,5,3,1.0,0.48612646801846937,True,4,"[""NumberOfTime30-59DaysPastDueNotWorse"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",29.316666685583595,"{""RevolvingUtilizationOfUnsecuredLines"": 1.0, ""age"": 52.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 3700.0, ""NumberOfOpenCreditLinesAndLoans"": 1.0, ""NumberOfTimes90DaysLate"": 1.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
56547,5,4,1.0,0.49073255536378096,True,4,"[""NumberOfTime30-59DaysPastDueNotWorse"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",29.316666685583595,"{""RevolvingUtilizationOfUnsecuredLines"": 1.0, ""age"": 52.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 1.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 3700.0, ""NumberOfOpenCreditLinesAndLoans"": 1.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
71627,6,1,1.0,1.5319781648397384e-15,True,6,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""MonthlyIncome"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",86.96161019047656,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 24.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 2427602.1, ""NumberOfOpenCreditLinesAndLoans"": 16.0, ""NumberOfTimes90DaysLate"": 24.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 97.0, ""NumberOfDependents"": 0.0}"
71627,6,2,1.0,0.0001679037942217838,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""MonthlyIncome"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",49.080994952381324,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 24.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 10.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 726113.9, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 1.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
71627,6,3,1.0,0.00010195179985203633,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""MonthlyIncome"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",49.180994952381326,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 24.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 10.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 726113.9, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
71627,6,4,1.0,7.846361316097677e-11,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""MonthlyIncome"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",62.6795435238099,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 24.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 1167063.1, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 1.0, ""NumberOfDependents"": 0.0}"
100712,8,1,1.0,3.1059697236102927e-12,True,6,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""MonthlyIncome"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",73.55438352380989,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 25.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 18.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 1904682.5, ""NumberOfOpenCreditLinesAndLoans"": 6.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 86.0, ""NumberOfDependents"": 0.0}"
