source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
11,1,1,0.9718182682991028,0.23446974158287048,True,3,"[""duration_months"", ""credit_amount"", ""savings_account_bonds""]",0.26791750696245076,"{""status_checking_account"": ""A11"", ""duration_months"": 14, ""credit_history"": ""A32"", ""purpose"": ""A49"", ""credit_amount"": 338, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A72"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A122"", ""age_years"": 24, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
11,1,2,0.9718182682991028,0.24685822427272797,True,4,"[""duration_months"", ""credit_amount"", ""savings_account_bonds"", ""housing""]",0.21019878997407088,"{""status_checking_account"": ""A11"", ""duration_months"": 24, ""credit_history"": ""A32"", ""purpose"": ""A49"", ""credit_amount"": 3777, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A72"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A122"", ""age_years"": 24, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
11,1,3,0.9718182682991028,0.19475649297237396,True,4,"[""duration_months"", ""credit_amount"", ""savings_account_bonds"", ""housing""]",0.24810093152789783,"{""status_checking_account"": ""A11"", ""duration_months"": 14, ""credit_history"": ""A32"", ""purpose"": ""A49"", ""credit_amount"": 3973, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A72"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A122"", ""age_years"": 24, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
11,1,4,0.9718182682991028,0.14069320261478424,True,4,"[""duration_months"", ""credit_amount"", ""other_debtors_guarantors"", ""housing""]",0.35958417362911743,"{""status_checking_account"": ""A11"", ""duration_months"": 4, ""credit_history"": ""A32"", ""purpose"": ""A49"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A72"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 4, ""property"": ""A122"", ""age_years"": 24, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
818,2,1,0.9602251052856445,0.2905706763267517,True,3,"[""credit_amount"", ""savings_account_bonds"", ""other_debtors_guarantors""]",0.2622587150677038,"{""status_checking_account"": ""A11"", ""duration_months"": 36, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 7409, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 43, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
818,2,2,0.9602251052856445,0.04228108748793602,True,3,"[""duration_months"", ""credit_amount"", ""other_debtors_guarantors""]",0.48140305387496396,"{""status_checking_account"": ""A11"", ""duration_months"": 4, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 43, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
818,2,3,0.9602251052856445,0.09590969234704971,True,3,"[""duration_months"", ""credit_amount"", ""savings_account_bonds""]",0.48140305387496396,"{""status_checking_account"": ""A11"", ""duration_months"": 4, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 338, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A102"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 43, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
818,2,4,0.9602251052856445,0.20481015741825104,True,3,"[""duration_months"", ""credit_amount"", ""housing""]",0.48140305387496396,"{""status_checking_account"": ""A11"", ""duration_months"": 4, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A102"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 43, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
953,3,1,0.9569097757339478,0.3280062675476074,True,3,"[""duration_months"", ""credit_amount"", ""installment_rate_percent""]",0.2792831076538942,"{""status_checking_account"": ""A14"", ""duration_months"": 24, ""credit_history"": ""A32"", ""purpose"": ""A42"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 2, ""property"": ""A123"", ""age_years"": 26, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 2, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
953,3,2,0.9569097757339478,0.221160888671875,True,4,"[""duration_months"", ""credit_amount"", ""savings_account_bonds"", ""installment_rate_percent""]",0.31678310765389417,"{""status_checking_account"": ""A14"", ""duration_months"": 27, ""credit_history"": ""A32"", ""purpose"": ""A42"", ""credit_amount"": 338, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 2, ""property"": ""A123"", ""age_years"": 26, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 2, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
