source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
2562,1,1,0.9599716067314148,0.4836326241493225,True,12,"[""PAY_0"", ""PAY_4"", ""PAY_5"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT3"", ""PAY_AMT5""]",0.47934428462222217,"{""LIMIT_BAL"": 140000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 40, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 2, ""BILL_AMT1"": 135294, ""BILL_AMT2"": 137425, ""BILL_AMT3"": 134487, ""BILL_AMT4"": 135945, ""BILL_AMT5"": 131296, ""BILL_AMT6"": 139207, ""PAY_AMT1"": 7462, ""PAY_AMT2"": 12602, ""PAY_AMT3"": 5025, ""PAY_AMT4"": 12000, ""PAY_AMT5"": 10601, ""PAY_AMT6"": 5000}"
2562,1,2,0.9599716067314148,0.47068852186203003,True,12,"[""PAY_0"", ""PAY_4"", ""PAY_5"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT3"", ""PAY_AMT5"", ""PAY_AMT6""]",0.4006352151487991,"{""LIMIT_BAL"": 140000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 40, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 2, ""BILL_AMT1"": 131801, ""BILL_AMT2"": 129141, ""BILL_AMT3"": 132221, ""BILL_AMT4"": 131743, ""BILL_AMT5"": 131986, ""BILL_AMT6"": 131430, ""PAY_AMT1"": 5051, ""PAY_AMT2"": 12602, ""PAY_AMT3"": 5050, ""PAY_AMT4"": 12000, ""PAY_AMT5"": 5100, ""PAY_AMT6"": 5012}"
2562,1,3,0.9599716067314148,0.36843612790107727,True,12,"[""PAY_0"", ""PAY_4"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT3"", ""PAY_AMT5""]",0.46158440934779643,"{""LIMIT_BAL"": 140000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 40, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 2, ""PAY_6"": 0, ""BILL_AMT1"": 129684, ""BILL_AMT2"": 130838, ""BILL_AMT3"": 131910, ""BILL_AMT4"": 136810, ""BILL_AMT5"": 133090, ""BILL_AMT6"": 134415, ""PAY_AMT1"": 6193, ""PAY_AMT2"": 12602, ""PAY_AMT3"": 10000, ""PAY_AMT4"": 12000, ""PAY_AMT5"": 5000, ""PAY_AMT6"": 5000}"
2562,1,4,0.9599716067314148,0.48239827156066895,True,13,"[""LIMIT_BAL"", ""PAY_0"", ""PAY_4"", ""PAY_5"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT3"", ""PAY_AMT6""]",0.39699507339030893,"{""LIMIT_BAL"": 150000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 40, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 2, ""BILL_AMT1"": 139172, ""BILL_AMT2"": 141401, ""BILL_AMT3"": 137320, ""BILL_AMT4"": 138016, ""BILL_AMT5"": 144084, ""BILL_AMT6"": 136604, ""PAY_AMT1"": 6022, ""PAY_AMT2"": 12602, ""PAY_AMT3"": 5100, ""PAY_AMT4"": 12000, ""PAY_AMT5"": 0, ""PAY_AMT6"": 10000}"
27536,2,1,0.9599415063858032,0.4205906391143799,True,14,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT3""]",0.6346626725149352,"{""LIMIT_BAL"": 250000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 51, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": -1, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 1635, ""BILL_AMT2"": 2491, ""BILL_AMT3"": -60, ""BILL_AMT4"": 600, ""BILL_AMT5"": 600, ""BILL_AMT6"": 0, ""PAY_AMT1"": 1025, ""PAY_AMT2"": 0, ""PAY_AMT3"": 660, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
27536,2,2,0.9599415063858032,0.4852752685546875,True,13,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT3""]",0.9271289983771187,"{""LIMIT_BAL"": 250000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 51, ""PAY_0"": -1, ""PAY_2"": -2, ""PAY_3"": -1, ""PAY_4"": -1, ""PAY_5"": -1, ""PAY_6"": 0, ""BILL_AMT1"": 603, ""BILL_AMT2"": -72, ""BILL_AMT3"": -61506, ""BILL_AMT4"": 3887, ""BILL_AMT5"": 0, ""BILL_AMT6"": 8710, ""PAY_AMT1"": 0, ""PAY_AMT2"": 0, ""PAY_AMT3"": 3887, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
27536,2,3,0.9599415063858032,0.3477005958557129,True,15,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT2"", ""PAY_AMT3""]",0.8236276752078354,"{""LIMIT_BAL"": 250000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 51, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": -1, ""PAY_5"": -1, ""PAY_6"": -2, ""BILL_AMT1"": 3731, ""BILL_AMT2"": 4695, ""BILL_AMT3"": 7604, ""BILL_AMT4"": 2919, ""BILL_AMT5"": 0, ""BILL_AMT6"": 0, ""PAY_AMT1"": 1000, ""PAY_AMT2"": 3000, ""PAY_AMT3"": 3000, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
27536,2,4,0.9599415063858032,0.2872420847415924,True,13,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT4""]",0.9539206104666141,"{""LIMIT_BAL"": 250000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 51, ""PAY_0"": -1, ""PAY_2"": -1, ""PAY_3"": -2, ""PAY_4"": -2, ""PAY_5"": -1, ""PAY_6"": -1, ""BILL_AMT1"": 7374, ""BILL_AMT2"": 0, ""BILL_AMT3"": 0, ""BILL_AMT4"": 0, ""BILL_AMT5"": 2546, ""BILL_AMT6"": 0, ""PAY_AMT1"": 0, ""PAY_AMT2"": 0, ""PAY_AMT3"": 0, ""PAY_AMT4"": 2546, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
14950,3,1,0.9599415063858032,0.4205906391143799,True,14,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT3""]",0.5911844116453701,"{""LIMIT_BAL"": 250000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 51, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": -1, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 1635, ""BILL_AMT2"": 2491, ""BILL_AMT3"": -60, ""BILL_AMT4"": 600, ""BILL_AMT5"": 600, ""BILL_AMT6"": 0, ""PAY_AMT1"": 1025, ""PAY_AMT2"": 0, ""PAY_AMT3"": 660, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
14950,3,2,0.9599415063858032,0.3477005958557129,True,15,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT2"", ""PAY_AMT3""]",0.7801494143382702,"{""LIMIT_BAL"": 250000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 51, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": -1, ""PAY_5"": -1, ""PAY_6"": -2, ""BILL_AMT1"": 3731, ""BILL_AMT2"": 4695, ""BILL_AMT3"": 7604, ""BILL_AMT4"": 2919, ""BILL_AMT5"": 0, ""BILL_AMT6"": 0, ""PAY_AMT1"": 1000, ""PAY_AMT2"": 3000, ""PAY_AMT3"": 3000, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
