source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
121148,1,1,0.8425055548715851,0.45928405085210366,True,7,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberRealEstateLoansOrLines"", ""NumberOfTime60-89DaysPastDueNotWorse""]",1.709853393345491,"{""RevolvingUtilizationOfUnsecuredLines"": 0.4, ""age"": 43.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.8, ""MonthlyIncome"": 5751.0, ""NumberOfOpenCreditLinesAndLoans"": 15.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 2.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
121148,1,2,0.8425055548715851,0.4696604730618656,True,7,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberRealEstateLoansOrLines"", ""NumberOfTime60-89DaysPastDueNotWorse""]",1.6914059327780382,"{""RevolvingUtilizationOfUnsecuredLines"": 0.3, ""age"": 43.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.6, ""MonthlyIncome"": 5751.0, ""NumberOfOpenCreditLinesAndLoans"": 10.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 3.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
121148,1,3,0.8425055548715851,0.40097183384862173,True,7,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberRealEstateLoansOrLines"", ""NumberOfTime60-89DaysPastDueNotWorse""]",1.7436561918126252,"{""RevolvingUtilizationOfUnsecuredLines"": 0.2, ""age"": 43.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.6, ""MonthlyIncome"": 5751.0, ""NumberOfOpenCreditLinesAndLoans"": 11.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 2.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
121148,1,4,0.8425055548715851,0.38242629022551894,True,7,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberRealEstateLoansOrLines"", ""NumberOfTime60-89DaysPastDueNotWorse""]",1.7961411834141123,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 43.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.5, ""MonthlyIncome"": 5751.0, ""NumberOfOpenCreditLinesAndLoans"": 13.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 2.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
11723,2,1,0.830272867997665,0.4816514501072072,True,6,"[""RevolvingUtilizationOfUnsecuredLines"", ""DebtRatio"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse"", ""NumberOfDependents""]",1.3138698171337038,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 30.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 2.0, ""DebtRatio"": 0.3, ""MonthlyIncome"": 3300.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 2.0}"
11723,2,2,0.830272867997665,0.4816514501072072,True,6,"[""RevolvingUtilizationOfUnsecuredLines"", ""DebtRatio"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse"", ""NumberOfDependents""]",1.3138698171337038,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 30.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 2.0, ""DebtRatio"": 0.3, ""MonthlyIncome"": 3300.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 2.0}"
11723,2,3,0.830272867997665,0.4847598479647138,True,6,"[""RevolvingUtilizationOfUnsecuredLines"", ""DebtRatio"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse"", ""NumberOfDependents""]",1.25123420340241,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 30.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 2.0, ""DebtRatio"": 0.5, ""MonthlyIncome"": 3300.0, ""NumberOfOpenCreditLinesAndLoans"": 8.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 1.0}"
11723,2,4,0.830272867997665,0.4787761552271343,True,6,"[""RevolvingUtilizationOfUnsecuredLines"", ""DebtRatio"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse"", ""NumberOfDependents""]",1.324489904397311,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 30.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 2.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 3300.0, ""NumberOfOpenCreditLinesAndLoans"": 8.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 1.0}"
68537,3,1,0.8299363465056688,0.3977620677450683,True,7,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberRealEstateLoansOrLines"", ""NumberOfTime60-89DaysPastDueNotWorse""]",1.687265106066043,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 26.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.3, ""MonthlyIncome"": 6500.0, ""NumberOfOpenCreditLinesAndLoans"": 26.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 2.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
68537,3,2,0.8299363465056688,0.3977620677450683,True,7,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberRealEstateLoansOrLines"", ""NumberOfTime60-89DaysPastDueNotWorse""]",1.7312185266629831,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 26.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 6500.0, ""NumberOfOpenCreditLinesAndLoans"": 26.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 2.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
