source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
26141,1,1,1.0,0.0,True,7,"[""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT4""]",0.0980643669527899,"{""LIMIT_BAL"": 360000, ""SEX"": 2, ""EDUCATION"": 3, ""MARRIAGE"": 2, ""AGE"": 30, ""PAY_0"": -1, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": -1, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 31482, ""BILL_AMT2"": 31805, ""BILL_AMT3"": 18203, ""BILL_AMT4"": 13122, ""BILL_AMT5"": 11547, ""BILL_AMT6"": 10949, ""PAY_AMT1"": 10000, ""PAY_AMT2"": 13021, ""PAY_AMT3"": 9781, ""PAY_AMT4"": 5005, ""PAY_AMT5"": 10000, ""PAY_AMT6"": 8752}"
26141,1,2,1.0,0.0,True,7,"[""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT4""]",0.04479508131844403,"{""LIMIT_BAL"": 360000, ""SEX"": 2, ""EDUCATION"": 3, ""MARRIAGE"": 2, ""AGE"": 30, ""PAY_0"": -1, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": -1, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 22233, ""BILL_AMT2"": 22935, ""BILL_AMT3"": 23816, ""BILL_AMT4"": 13800, ""BILL_AMT5"": 11000, ""BILL_AMT6"": 0, ""PAY_AMT1"": 10000, ""PAY_AMT2"": 13021, ""PAY_AMT3"": 9781, ""PAY_AMT4"": 1000, ""PAY_AMT5"": 10000, ""PAY_AMT6"": 8752}"
26141,1,3,1.0,0.0,True,7,"[""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT4""]",0.04320524509382066,"{""LIMIT_BAL"": 360000, ""SEX"": 2, ""EDUCATION"": 3, ""MARRIAGE"": 2, ""AGE"": 30, ""PAY_0"": -1, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": -1, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 20376, ""BILL_AMT2"": 17726, ""BILL_AMT3"": 18797, ""BILL_AMT4"": 15816, ""BILL_AMT5"": 16112, ""BILL_AMT6"": 10793, ""PAY_AMT1"": 10000, ""PAY_AMT2"": 13021, ""PAY_AMT3"": 9781, ""PAY_AMT4"": 1024, ""PAY_AMT5"": 10000, ""PAY_AMT6"": 8752}"
26141,1,4,1.0,0.0,True,7,"[""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT4""]",0.04232142412463157,"{""LIMIT_BAL"": 360000, ""SEX"": 2, ""EDUCATION"": 3, ""MARRIAGE"": 2, ""AGE"": 30, ""PAY_0"": -1, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": -1, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 26833, ""BILL_AMT2"": 23626, ""BILL_AMT3"": 20571, ""BILL_AMT4"": 15423, ""BILL_AMT5"": 15001, ""BILL_AMT6"": 14917, ""PAY_AMT1"": 10000, ""PAY_AMT2"": 13021, ""PAY_AMT3"": 9781, ""PAY_AMT4"": 1003, ""PAY_AMT5"": 10000, ""PAY_AMT6"": 8752}"
20657,2,1,1.0,0.0,True,8,"[""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT3""]",0.014493764456439894,"{""LIMIT_BAL"": 50000, ""SEX"": 1, ""EDUCATION"": 3, ""MARRIAGE"": 2, ""AGE"": 31, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 2, ""BILL_AMT1"": 48934, ""BILL_AMT2"": 25276, ""BILL_AMT3"": 18588, ""BILL_AMT4"": 19994, ""BILL_AMT5"": 20258, ""BILL_AMT6"": 19783, ""PAY_AMT1"": 1602, ""PAY_AMT2"": 1500, ""PAY_AMT3"": 1718, ""PAY_AMT4"": 2000, ""PAY_AMT5"": 0, ""PAY_AMT6"": 1000}"
20657,2,2,1.0,0.0,True,8,"[""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT4""]",0.03794659481883988,"{""LIMIT_BAL"": 50000, ""SEX"": 1, ""EDUCATION"": 3, ""MARRIAGE"": 2, ""AGE"": 31, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 2, ""BILL_AMT1"": 42543, ""BILL_AMT2"": 34629, ""BILL_AMT3"": 27095, ""BILL_AMT4"": 18538, ""BILL_AMT5"": 20100, ""BILL_AMT6"": 19630, ""PAY_AMT1"": 1900, ""PAY_AMT2"": 1500, ""PAY_AMT3"": 1500, ""PAY_AMT4"": 3000, ""PAY_AMT5"": 0, ""PAY_AMT6"": 1000}"
20657,2,3,1.0,0.305603515931565,True,8,"[""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT5""]",0.1582669131431022,"{""LIMIT_BAL"": 50000, ""SEX"": 1, ""EDUCATION"": 3, ""MARRIAGE"": 2, ""AGE"": 31, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 50019, ""BILL_AMT2"": 18458, ""BILL_AMT3"": 19318, ""BILL_AMT4"": 15949, ""BILL_AMT5"": 14986, ""BILL_AMT6"": 19401, ""PAY_AMT1"": 1500, ""PAY_AMT2"": 1500, ""PAY_AMT3"": 1500, ""PAY_AMT4"": 2000, ""PAY_AMT5"": 5000, ""PAY_AMT6"": 1000}"
20657,2,4,1.0,0.305603515931565,True,8,"[""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT5""]",0.11875163876586636,"{""LIMIT_BAL"": 50000, ""SEX"": 1, ""EDUCATION"": 3, ""MARRIAGE"": 2, ""AGE"": 31, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 47333, ""BILL_AMT2"": 11354, ""BILL_AMT3"": 12367, ""BILL_AMT4"": 12612, ""BILL_AMT5"": 12875, ""BILL_AMT6"": 13131, ""PAY_AMT1"": 1500, ""PAY_AMT2"": 1500, ""PAY_AMT3"": 1500, ""PAY_AMT4"": 2000, ""PAY_AMT5"": 469, ""PAY_AMT6"": 1000}"
16517,3,1,1.0,0.4681413801394566,True,11,"[""LIMIT_BAL"", ""PAY_4"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT3"", ""PAY_AMT4"", ""PAY_AMT6""]",0.07152902994231619,"{""LIMIT_BAL"": 50000, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 2, ""AGE"": 24, ""PAY_0"": 4, ""PAY_2"": 3, ""PAY_3"": 2, ""PAY_4"": 2, ""PAY_5"": 2, ""PAY_6"": 2, ""BILL_AMT1"": 37570, ""BILL_AMT2"": 36705, ""BILL_AMT3"": 37215, ""BILL_AMT4"": 37718, ""BILL_AMT5"": 38584, ""BILL_AMT6"": 37829, ""PAY_AMT1"": 0, ""PAY_AMT2"": 2335, ""PAY_AMT3"": 1400, ""PAY_AMT4"": 1601, ""PAY_AMT5"": 2300, ""PAY_AMT6"": 2500}"
16517,3,2,1.0,0.0,True,10,"[""PAY_0"", ""PAY_2"", ""PAY_4"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1""]",1.0983600615292877,"{""LIMIT_BAL"": 40000, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 2, ""AGE"": 24, ""PAY_0"": 0, ""PAY_2"": -2, ""PAY_3"": 2, ""PAY_4"": -2, ""PAY_5"": 2, ""PAY_6"": 2, ""BILL_AMT1"": 34664, ""BILL_AMT2"": 37611, ""BILL_AMT3"": 36726, ""BILL_AMT4"": -81334, ""BILL_AMT5"": 40085, ""BILL_AMT6"": -339603, ""PAY_AMT1"": 3524, ""PAY_AMT2"": 2335, ""PAY_AMT3"": 1200, ""PAY_AMT4"": 1225, ""PAY_AMT5"": 2300, ""PAY_AMT6"": 1396}"
