source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
13712,1,1,0.9964834606462177,0.39919582882309623,True,16,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT3"", ""PAY_AMT5"", ""PAY_AMT6""]",1.262523196690729,"{""LIMIT_BAL"": 20000, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 2, ""AGE"": 40, ""PAY_0"": -2, ""PAY_2"": 2, ""PAY_3"": 2, ""PAY_4"": 2, ""PAY_5"": 2, ""PAY_6"": 0, ""BILL_AMT1"": 18252, ""BILL_AMT2"": 19650, ""BILL_AMT3"": 19054, ""BILL_AMT4"": 20285, ""BILL_AMT5"": 19563, ""BILL_AMT6"": 17899, ""PAY_AMT1"": 2000, ""PAY_AMT2"": 0, ""PAY_AMT3"": 2000, ""PAY_AMT4"": 0, ""PAY_AMT5"": 356, ""PAY_AMT6"": 3431}"
13712,1,2,0.9964834606462177,0.3934467561019074,True,14,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT6""]",1.4623906514095493,"{""LIMIT_BAL"": 20000, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 2, ""AGE"": 40, ""PAY_0"": -2, ""PAY_2"": 2, ""PAY_3"": 2, ""PAY_4"": 2, ""PAY_5"": 0, ""PAY_6"": -2, ""BILL_AMT1"": 19318, ""BILL_AMT2"": 18735, ""BILL_AMT3"": 19054, ""BILL_AMT4"": -81334, ""BILL_AMT5"": 19563, ""BILL_AMT6"": 17899, ""PAY_AMT1"": 1422, ""PAY_AMT2"": 0, ""PAY_AMT3"": 70, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 1000}"
13712,1,3,0.9964834606462177,0.44942365179201726,True,16,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT2"", ""PAY_AMT3"", ""PAY_AMT5"", ""PAY_AMT6""]",1.4159977620746624,"{""LIMIT_BAL"": 20000, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 2, ""AGE"": 40, ""PAY_0"": -1, ""PAY_2"": 2, ""PAY_3"": 2, ""PAY_4"": -2, ""PAY_5"": 2, ""PAY_6"": 2, ""BILL_AMT1"": 17056, ""BILL_AMT2"": -69777, ""BILL_AMT3"": 18055, ""BILL_AMT4"": 20578, ""BILL_AMT5"": -81334, ""BILL_AMT6"": 20197, ""PAY_AMT1"": 0, ""PAY_AMT2"": 1502, ""PAY_AMT3"": 822, ""PAY_AMT4"": 0, ""PAY_AMT5"": 1001, ""PAY_AMT6"": 220}"
13712,1,4,0.9964834606462177,0.40139338332481495,True,14,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT2""]",1.6138353961423042,"{""LIMIT_BAL"": 20000, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 2, ""AGE"": 40, ""PAY_0"": -1, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 2, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 19318, ""BILL_AMT2"": 18735, ""BILL_AMT3"": 18762, ""BILL_AMT4"": -81334, ""BILL_AMT5"": -81334, ""BILL_AMT6"": 12100, ""PAY_AMT1"": 1313, ""PAY_AMT2"": 2480, ""PAY_AMT3"": 70, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
4387,2,1,0.9960537943319551,0.4934367887552583,True,13,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT2""]",1.6540299787805959,"{""LIMIT_BAL"": 90000, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 1, ""AGE"": 35, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 112577, ""BILL_AMT2"": 105189, ""BILL_AMT3"": 97048, ""BILL_AMT4"": -81334, ""BILL_AMT5"": 88564, ""BILL_AMT6"": 100558, ""PAY_AMT1"": 0, ""PAY_AMT2"": 3330, ""PAY_AMT3"": 0, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
4387,2,2,0.9960537943319551,0.49596197400123304,True,17,"[""LIMIT_BAL"", ""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT2"", ""PAY_AMT4"", ""PAY_AMT6""]",1.5143549325433043,"{""LIMIT_BAL"": 110000, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 1, ""AGE"": 35, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 2, ""PAY_5"": 2, ""PAY_6"": 2, ""BILL_AMT1"": 112380, ""BILL_AMT2"": 113369, ""BILL_AMT3"": 113214, ""BILL_AMT4"": 108350, ""BILL_AMT5"": 109072, ""BILL_AMT6"": 106848, ""PAY_AMT1"": 6200, ""PAY_AMT2"": 9900, ""PAY_AMT3"": 0, ""PAY_AMT4"": 8007, ""PAY_AMT5"": 0, ""PAY_AMT6"": 5000}"
4387,2,3,0.9960537943319551,0.4600916572179421,True,15,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT4"", ""PAY_AMT6""]",1.7622690321904213,"{""LIMIT_BAL"": 90000, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 1, ""AGE"": 35, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 106053, ""BILL_AMT2"": 102946, ""BILL_AMT3"": 100733, ""BILL_AMT4"": 96038, ""BILL_AMT5"": -81334, ""BILL_AMT6"": 90145, ""PAY_AMT1"": 3824, ""PAY_AMT2"": 0, ""PAY_AMT3"": 0, ""PAY_AMT4"": 3662, ""PAY_AMT5"": 0, ""PAY_AMT6"": 3795}"
749,3,1,0.9952445353065805,0.4159799481594355,True,15,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT2"", ""PAY_AMT4""]",1.5763826921420796,"{""LIMIT_BAL"": 50000, ""SEX"": 2, ""EDUCATION"": 2, ""MARRIAGE"": 2, ""AGE"": 25, ""PAY_0"": -2, ""PAY_2"": 0, ""PAY_3"": 2, ""PAY_4"": 0, ""PAY_5"": 3, ""PAY_6"": 0, ""BILL_AMT1"": -165580, ""BILL_AMT2"": 30048, ""BILL_AMT3"": -61506, ""BILL_AMT4"": 35045, ""BILL_AMT5"": 37019, ""BILL_AMT6"": 34743, ""PAY_AMT1"": 1650, ""PAY_AMT2"": 2000, ""PAY_AMT3"": 1000, ""PAY_AMT4"": 1000, ""PAY_AMT5"": 0, ""PAY_AMT6"": 3000}"
749,3,2,0.9952445353065805,0.49269674845664874,True,16,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT2"", ""PAY_AMT3"", ""PAY_AMT5""]",1.3477750524232521,"{""LIMIT_BAL"": 50000, ""SEX"": 2, ""EDUCATION"": 2, ""MARRIAGE"": 2, ""AGE"": 25, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 2, ""PAY_5"": 2, ""PAY_6"": 0, ""BILL_AMT1"": 33370, ""BILL_AMT2"": 34413, ""BILL_AMT3"": 37644, ""BILL_AMT4"": 38026, ""BILL_AMT5"": 36519, ""BILL_AMT6"": 36724, ""PAY_AMT1"": 1600, ""PAY_AMT2"": 3800, ""PAY_AMT3"": 1300, ""PAY_AMT4"": 0, ""PAY_AMT5"": 1400, ""PAY_AMT6"": 3000}"
749,3,3,0.9952445353065805,0.47179490448921835,True,16,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT2"", ""PAY_AMT3"", ""PAY_AMT4""]",1.3553282347764857,"{""LIMIT_BAL"": 50000, ""SEX"": 2, ""EDUCATION"": 2, ""MARRIAGE"": 2, ""AGE"": 25, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 2, ""PAY_6"": 2, ""BILL_AMT1"": 31475, ""BILL_AMT2"": 32663, ""BILL_AMT3"": 33813, ""BILL_AMT4"": 34952, ""BILL_AMT5"": 36447, ""BILL_AMT6"": 35515, ""PAY_AMT1"": 2000, ""PAY_AMT2"": 2000, ""PAY_AMT3"": 2000, ""PAY_AMT4"": 2500, ""PAY_AMT5"": 0, ""PAY_AMT6"": 3000}"
749,3,4,0.9952445353065805,0.3510126644738172,True,16,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT2"", ""PAY_AMT3"", ""PAY_AMT5""]",1.3638835137441159,"{""LIMIT_BAL"": 50000, ""SEX"": 2, ""EDUCATION"": 2, ""MARRIAGE"": 2, ""AGE"": 25, ""PAY_0"": -1, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 3, ""PAY_6"": 2, ""BILL_AMT1"": 29321, ""BILL_AMT2"": 30048, ""BILL_AMT3"": 31396, ""BILL_AMT4"": 35045, ""BILL_AMT5"": 34203, ""BILL_AMT6"": 34743, ""PAY_AMT1"": 1503, ""PAY_AMT2"": 1851, ""PAY_AMT3"": 4500, ""PAY_AMT4"": 0, ""PAY_AMT5"": 1250, ""PAY_AMT6"": 3000}"
23039,4,1,0.9947911485018767,0.24593949293839792,True,15,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT3"", ""PAY_AMT5""]",2.7451743998642617,"{""LIMIT_BAL"": 220000, ""SEX"": 2, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 41, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 215013, ""BILL_AMT2"": -69777, ""BILL_AMT3"": -61506, ""BILL_AMT4"": -81334, ""BILL_AMT5"": -81334, ""BILL_AMT6"": 210628, ""PAY_AMT1"": 9600, ""PAY_AMT2"": 0, ""PAY_AMT3"": 7907, ""PAY_AMT4"": 0, ""PAY_AMT5"": 8610, ""PAY_AMT6"": 0}"
23039,4,2,0.9947911485018767,0.3026393807818025,True,13,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT5""]",1.9578260459661307,"{""LIMIT_BAL"": 220000, ""SEX"": 2, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 41, ""PAY_0"": 0, ""PAY_2"": -2, ""PAY_3"": -2, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 226467, ""BILL_AMT2"": 232993, ""BILL_AMT3"": -61506, ""BILL_AMT4"": 207633, ""BILL_AMT5"": 216395, ""BILL_AMT6"": 224853, ""PAY_AMT1"": 0, ""PAY_AMT2"": 0, ""PAY_AMT3"": 0, ""PAY_AMT4"": 0, ""PAY_AMT5"": 6014, ""PAY_AMT6"": 0}"
23039,4,3,0.9947911485018767,0.43377801381153847,True,18,"[""LIMIT_BAL"", ""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT2"", ""PAY_AMT4"", ""PAY_AMT5"", ""PAY_AMT6""]",2.0158456266786677,"{""LIMIT_BAL"": 240000, ""SEX"": 2, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 41, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 2, ""PAY_4"": 2, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 216923, ""BILL_AMT2"": 242282, ""BILL_AMT3"": 245657, ""BILL_AMT4"": 240040, ""BILL_AMT5"": 231790, ""BILL_AMT6"": 221683, ""PAY_AMT1"": 30700, ""PAY_AMT2"": 8700, ""PAY_AMT3"": 0, ""PAY_AMT4"": 8207, ""PAY_AMT5"": 9000, ""PAY_AMT6"": 8000}"
23039,4,4,0.9947911485018767,0.3284849911724092,True,16,"[""PAY_0"", ""PAY_2"", ""PAY_3"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT2"", ""PAY_AMT3"", ""PAY_AMT5""]",2.312072251636353,"{""LIMIT_BAL"": 220000, ""SEX"": 2, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 41, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 215013, ""BILL_AMT2"": -69777, ""BILL_AMT3"": -61506, ""BILL_AMT4"": 217816, ""BILL_AMT5"": 222214, ""BILL_AMT6"": 210628, ""PAY_AMT1"": 9600, ""PAY_AMT2"": 8500, ""PAY_AMT3"": 7907, ""PAY_AMT4"": 0, ""PAY_AMT5"": 8610, ""PAY_AMT6"": 0}"
