source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
522,1,1,0.8210350097817457,0.4468892246286249,True,4,"[""duration_months"", ""credit_amount"", ""savings_account_bonds"", ""housing""]",0.2884447325458561,"{""status_checking_account"": ""A11"", ""duration_months"": 6, ""credit_history"": ""A30"", ""purpose"": ""A42"", ""credit_amount"": 6419, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 53, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 2, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
522,1,2,0.8210350097817457,0.4871662780235127,True,5,"[""duration_months"", ""credit_amount"", ""savings_account_bonds"", ""other_installment_plans"", ""housing""]",0.34020935369249977,"{""status_checking_account"": ""A11"", ""duration_months"": 4, ""credit_history"": ""A30"", ""purpose"": ""A42"", ""credit_amount"": 6761, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 53, ""other_installment_plans"": ""A142"", ""housing"": ""A152"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 2, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
528,2,1,0.7993000465560312,0.4546154339182386,True,3,"[""duration_months"", ""savings_account_bonds"", ""housing""]",0.2,"{""status_checking_account"": ""A11"", ""duration_months"": 12, ""credit_history"": ""A32"", ""purpose"": ""A43"", ""credit_amount"": 2302, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 31, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
528,2,2,0.7993000465560312,0.49753015569958564,True,3,"[""duration_months"", ""credit_amount"", ""savings_account_bonds""]",0.15155574762316334,"{""status_checking_account"": ""A11"", ""duration_months"": 12, ""credit_history"": ""A32"", ""purpose"": ""A43"", ""credit_amount"": 2221, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 31, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
998,3,1,0.7565414435088517,0.4980539550215435,True,3,"[""duration_months"", ""savings_account_bonds"", ""housing""]",0.1875,"{""status_checking_account"": ""A11"", ""duration_months"": 24, ""credit_history"": ""A32"", ""purpose"": ""A43"", ""credit_amount"": 1845, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 23, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
998,3,2,0.7565414435088517,0.4658572826034988,True,3,"[""duration_months"", ""savings_account_bonds"", ""housing""]",0.2125,"{""status_checking_account"": ""A11"", ""duration_months"": 18, ""credit_history"": ""A32"", ""purpose"": ""A43"", ""credit_amount"": 1845, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 23, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
998,3,3,0.7565414435088517,0.48577088184260947,True,3,"[""duration_months"", ""savings_account_bonds"", ""housing""]",0.225,"{""status_checking_account"": ""A11"", ""duration_months"": 15, ""credit_history"": ""A32"", ""purpose"": ""A43"", ""credit_amount"": 1845, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 23, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
998,3,4,0.7565414435088517,0.4764830336311975,True,3,"[""duration_months"", ""savings_account_bonds"", ""housing""]",0.2375,"{""status_checking_account"": ""A11"", ""duration_months"": 12, ""credit_history"": ""A32"", ""purpose"": ""A43"", ""credit_amount"": 1845, ""savings_account_bonds"": ""A62"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 23, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
11,4,1,0.7543528055141254,0.4674919242808482,True,4,"[""duration_months"", ""credit_amount"", ""savings_account_bonds"", ""housing""]",0.21019878997407088,"{""status_checking_account"": ""A11"", ""duration_months"": 24, ""credit_history"": ""A32"", ""purpose"": ""A49"", ""credit_amount"": 3777, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A72"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A122"", ""age_years"": 24, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
11,4,2,0.7543528055141254,0.4912256547404624,True,4,"[""duration_months"", ""credit_amount"", ""other_debtors_guarantors"", ""housing""]",0.2762508402957841,"{""status_checking_account"": ""A11"", ""duration_months"": 24, ""credit_history"": ""A32"", ""purpose"": ""A49"", ""credit_amount"": 338, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A72"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 4, ""property"": ""A122"", ""age_years"": 24, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
