source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
28054,1,1,0.9978710562243223,0.42250745384810906,True,12,"[""PAY_0"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT2"", ""PAY_AMT5""]",0.9413480814318855,"{""LIMIT_BAL"": 20000, ""SEX"": 2, ""EDUCATION"": 2, ""MARRIAGE"": 1, ""AGE"": 32, ""PAY_0"": 1, ""PAY_2"": 2, ""PAY_3"": 2, ""PAY_4"": 2, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 2013, ""BILL_AMT2"": 1837, ""BILL_AMT3"": 3831, ""BILL_AMT4"": 2825, ""BILL_AMT5"": 1970, ""BILL_AMT6"": 1735, ""PAY_AMT1"": 0, ""PAY_AMT2"": 2212, ""PAY_AMT3"": 0, ""PAY_AMT4"": 0, ""PAY_AMT5"": 175, ""PAY_AMT6"": 0}"
28054,1,2,0.9978710562243223,0.4525077220257364,True,11,"[""PAY_0"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT5""]",1.1536413729899129,"{""LIMIT_BAL"": 20000, ""SEX"": 2, ""EDUCATION"": 2, ""MARRIAGE"": 1, ""AGE"": 32, ""PAY_0"": -1, ""PAY_2"": 2, ""PAY_3"": 2, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": -1, ""BILL_AMT1"": 3413, ""BILL_AMT2"": 3206, ""BILL_AMT3"": 2250, ""BILL_AMT4"": 1500, ""BILL_AMT5"": 750, ""BILL_AMT6"": 1650, ""PAY_AMT1"": 0, ""PAY_AMT2"": 0, ""PAY_AMT3"": 0, ""PAY_AMT4"": 0, ""PAY_AMT5"": 1650, ""PAY_AMT6"": 0}"
28054,1,3,0.9978710562243223,0.3483245506047968,True,12,"[""PAY_0"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT4""]",1.109638678991283,"{""LIMIT_BAL"": 20000, ""SEX"": 2, ""EDUCATION"": 2, ""MARRIAGE"": 1, ""AGE"": 32, ""PAY_0"": -1, ""PAY_2"": 2, ""PAY_3"": 2, ""PAY_4"": 2, ""PAY_5"": -1, ""PAY_6"": -1, ""BILL_AMT1"": 780, ""BILL_AMT2"": 780, ""BILL_AMT3"": 390, ""BILL_AMT4"": 0, ""BILL_AMT5"": 780, ""BILL_AMT6"": 0, ""PAY_AMT1"": 390, ""PAY_AMT2"": 0, ""PAY_AMT3"": 0, ""PAY_AMT4"": 780, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
28054,1,4,0.9978710562243223,0.3644902730682682,True,12,"[""PAY_0"", ""PAY_2"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1""]",1.1474714842895408,"{""LIMIT_BAL"": 20000, ""SEX"": 2, ""EDUCATION"": 2, ""MARRIAGE"": 1, ""AGE"": 32, ""PAY_0"": 1, ""PAY_2"": -1, ""PAY_3"": 2, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": -20, ""BILL_AMT2"": 780, ""BILL_AMT3"": 780, ""BILL_AMT4"": 1560, ""BILL_AMT5"": 780, ""BILL_AMT6"": 0, ""PAY_AMT1"": 800, ""PAY_AMT2"": 0, ""PAY_AMT3"": 0, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
24167,2,1,0.9939241190564112,0.3946423844435861,True,12,"[""PAY_0"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT2"", ""PAY_AMT5""]",0.9413480814318855,"{""LIMIT_BAL"": 20000, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 2, ""AGE"": 22, ""PAY_0"": 1, ""PAY_2"": 2, ""PAY_3"": 2, ""PAY_4"": 2, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 2013, ""BILL_AMT2"": 1837, ""BILL_AMT3"": 3831, ""BILL_AMT4"": 2825, ""BILL_AMT5"": 1970, ""BILL_AMT6"": 1735, ""PAY_AMT1"": 0, ""PAY_AMT2"": 2212, ""PAY_AMT3"": 0, ""PAY_AMT4"": 0, ""PAY_AMT5"": 175, ""PAY_AMT6"": 0}"
24167,2,2,0.9939241190564112,0.47626585472009575,True,11,"[""PAY_0"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT5""]",1.1536413729899129,"{""LIMIT_BAL"": 20000, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 2, ""AGE"": 22, ""PAY_0"": -1, ""PAY_2"": 2, ""PAY_3"": 2, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": -1, ""BILL_AMT1"": 3413, ""BILL_AMT2"": 3206, ""BILL_AMT3"": 2250, ""BILL_AMT4"": 1500, ""BILL_AMT5"": 750, ""BILL_AMT6"": 1650, ""PAY_AMT1"": 0, ""PAY_AMT2"": 0, ""PAY_AMT3"": 0, ""PAY_AMT4"": 0, ""PAY_AMT5"": 1650, ""PAY_AMT6"": 0}"
24167,2,3,0.9939241190564112,0.3778324273083656,True,12,"[""PAY_0"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT4""]",1.109638678991283,"{""LIMIT_BAL"": 20000, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 2, ""AGE"": 22, ""PAY_0"": -1, ""PAY_2"": 2, ""PAY_3"": 2, ""PAY_4"": 2, ""PAY_5"": -1, ""PAY_6"": -1, ""BILL_AMT1"": 780, ""BILL_AMT2"": 780, ""BILL_AMT3"": 390, ""BILL_AMT4"": 0, ""BILL_AMT5"": 780, ""BILL_AMT6"": 0, ""PAY_AMT1"": 390, ""PAY_AMT2"": 0, ""PAY_AMT3"": 0, ""PAY_AMT4"": 780, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
24167,2,4,0.9939241190564112,0.36953149147784164,True,12,"[""PAY_0"", ""PAY_2"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1""]",1.1474714842895408,"{""LIMIT_BAL"": 20000, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 2, ""AGE"": 22, ""PAY_0"": 1, ""PAY_2"": -1, ""PAY_3"": 2, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": -20, ""BILL_AMT2"": 780, ""BILL_AMT3"": 780, ""BILL_AMT4"": 1560, ""BILL_AMT5"": 780, ""BILL_AMT6"": 0, ""PAY_AMT1"": 800, ""PAY_AMT2"": 0, ""PAY_AMT3"": 0, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
27536,3,1,0.9905593283806617,0.3473871002395107,True,12,"[""PAY_0"", ""PAY_2"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT5""]",0.6197448068589987,"{""LIMIT_BAL"": 250000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 51, ""PAY_0"": 1, ""PAY_2"": -1, ""PAY_3"": 2, ""PAY_4"": 2, ""PAY_5"": -2, ""PAY_6"": -1, ""BILL_AMT1"": 0, ""BILL_AMT2"": 5023, ""BILL_AMT3"": 2460, ""BILL_AMT4"": 0, ""BILL_AMT5"": 0, ""BILL_AMT6"": 3081, ""PAY_AMT1"": 5023, ""PAY_AMT2"": 0, ""PAY_AMT3"": 0, ""PAY_AMT4"": 0, ""PAY_AMT5"": 3081, ""PAY_AMT6"": 0}"
27536,3,2,0.9905593283806617,0.3226276954509991,True,12,"[""PAY_0"", ""PAY_4"", ""PAY_5"", ""PAY_6"", ""BILL_AMT1"", ""BILL_AMT2"", ""BILL_AMT3"", ""BILL_AMT4"", ""BILL_AMT5"", ""BILL_AMT6"", ""PAY_AMT1"", ""PAY_AMT5""]",0.5948463373524671,"{""LIMIT_BAL"": 250000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 51, ""PAY_0"": 1, ""PAY_2"": 2, ""PAY_3"": 2, ""PAY_4"": -2, ""PAY_5"": -2, ""PAY_6"": -1, ""BILL_AMT1"": 7067, ""BILL_AMT2"": 998, ""BILL_AMT3"": 0, ""BILL_AMT4"": 0, ""BILL_AMT5"": 0, ""BILL_AMT6"": 1604, ""PAY_AMT1"": 4, ""PAY_AMT2"": 0, ""PAY_AMT3"": 0, ""PAY_AMT4"": 0, ""PAY_AMT5"": 1604, ""PAY_AMT6"": 0}"
