model,dataset,queries,requested_counterfactuals_per_query,generated_counterfactuals,valid_counterfactuals,validity_rate,query_coverage,mean_sparsity_changes,mean_proximity,mean_set_diversity,failed_queries,predictive_roc_auc,predictive_average_precision,predictive_accuracy,predictive_balanced_accuracy,predictive_f1,predictive_brier_score,predictive_n,predictive_positive_rate,predictive_predicted_positive_rate,dice_method
logistic_regression,german_credit,10,4,35,35,1.0,1.0,4.285714285714286,0.3873561550808741,0.111320264733186,0,0.8073142857142857,0.6433942050390978,0.748,0.7628571428571429,0.6557377049180327,0.1806215871410536,250,0.3,0.432,genetic
logistic_regression,give_me_some_credit,10,4,17,17,1.0,0.5,5.117647058823529,53.31932707920677,5.562534394911946,5,0.8004512322965317,0.3216757211179901,0.7725333333333333,0.7217853239554326,0.2804116753838366,0.1802000248968931,37500,0.0668266666666666,0.24928,genetic
logistic_regression,taiwan_credit,10,4,37,37,1.0,1.0,13.45945945945946,1.2005064741914433,0.5508720128346967,0,0.7160511026634176,0.4993624662202417,0.6804,0.6633997126380735,0.466977985323549,0.2085405208528186,7500,0.2212,0.3784,genetic
decision_tree,german_credit,10,4,40,40,1.0,1.0,2.7,0.1304708057236147,0.1137798505073786,0,0.6485333333333334,0.4415139162458226,0.632,0.6114285714285714,0.4772727272727273,0.2850291176164216,250,0.3,0.404,genetic
decision_tree,give_me_some_credit,10,4,40,37,0.925,1.0,4.0,0.5743506323490448,0.1981826690702694,0,0.688194415588106,0.2038270303594865,0.8423733333333333,0.6791853748865214,0.2938716999163779,0.1256864619135104,37500,0.0668266666666666,0.1564,genetic
decision_tree,taiwan_credit,10,4,39,39,1.0,1.0,10.17948717948718,0.4146299222917932,0.4160196039052948,0,0.6725087430944544,0.3764108491028797,0.702,0.6405838196226525,0.4405506883604506,0.2402058460798332,7500,0.2212,0.3114666666666666,genetic
random_forest,german_credit,10,4,32,32,1.0,1.0,3.03125,0.1762127643930663,0.1285072945676878,0,0.7968,0.6351175876309567,0.776,0.6952380952380952,0.5692307692307692,0.1650682513639036,250,0.3,0.22,genetic
random_forest,give_me_some_credit,10,4,39,39,1.0,1.0,4.564102564102564,17.496523555169954,5.850077605814703,0,0.8513796356652819,0.3724919342293642,0.9336,0.6380419518730859,0.3740573152337858,0.0527855709925269,37500,0.0668266666666666,0.0392533333333333,genetic
random_forest,taiwan_credit,10,4,38,38,1.0,1.0,12.447368421052632,1.4782299285432705,1.626010015675086,0,0.7676800699757147,0.5475820862413103,0.8098666666666666,0.6737996323922091,0.5,0.1402592529563178,7500,0.2212,0.1590666666666666,genetic
adaboost,german_credit,10,4,31,31,1.0,0.9,3.290322580645161,0.3520843207776879,0.1285714771599603,1,0.7940571428571428,0.6090518172324008,0.732,0.74,0.6298342541436464,0.2137797211477445,250,0.3,0.424,genetic
