source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
832,1,1,0.6552258698228214,0.4970372964449236,True,2,"[""credit_amount"", ""installment_rate_percent""]",0.2441491404974551,"{""status_checking_account"": ""A11"", ""duration_months"": 45, ""credit_history"": ""A30"", ""purpose"": ""A49"", ""credit_amount"": 406, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A75"", ""installment_rate_percent"": 1, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 29, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
832,1,2,0.6552258698228214,0.483057571877432,True,2,"[""credit_amount"", ""housing""]",0.2698213771247479,"{""status_checking_account"": ""A11"", ""duration_months"": 45, ""credit_history"": ""A30"", ""purpose"": ""A49"", ""credit_amount"": 371, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A75"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 29, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
832,1,3,0.6552258698228214,0.47335924920067485,True,2,"[""credit_amount"", ""savings_account_bonds""]",0.26966772303850955,"{""status_checking_account"": ""A11"", ""duration_months"": 45, ""credit_history"": ""A30"", ""purpose"": ""A49"", ""credit_amount"": 379, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A75"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 29, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
832,1,4,0.6552258698228214,0.4970372964449236,True,2,"[""credit_amount"", ""housing""]",0.26966772303850955,"{""status_checking_account"": ""A11"", ""duration_months"": 45, ""credit_history"": ""A30"", ""purpose"": ""A49"", ""credit_amount"": 379, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A75"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 29, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
915,2,1,0.6492836302218605,0.47728861668032146,True,2,"[""duration_months"", ""credit_amount""]",0.429247094977432,"{""status_checking_account"": ""A12"", ""duration_months"": 28, ""credit_history"": ""A30"", ""purpose"": ""A410"", ""credit_amount"": 414, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 1, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 2, ""property"": ""A122"", ""age_years"": 32, ""other_installment_plans"": ""A141"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A202""}"
915,2,2,0.6492836302218605,0.47728861668032146,True,2,"[""duration_months"", ""credit_amount""]",0.4342972726399693,"{""status_checking_account"": ""A12"", ""duration_months"": 27, ""credit_history"": ""A30"", ""purpose"": ""A410"", ""credit_amount"": 368, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 1, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 2, ""property"": ""A122"", ""age_years"": 32, ""other_installment_plans"": ""A141"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A202""}"
915,2,3,0.6492836302218605,0.4651579169409852,True,2,"[""duration_months"", ""credit_amount""]",0.5015149332565063,"{""status_checking_account"": ""A12"", ""duration_months"": 6, ""credit_history"": ""A30"", ""purpose"": ""A410"", ""credit_amount"": 1424, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 1, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 2, ""property"": ""A122"", ""age_years"": 32, ""other_installment_plans"": ""A141"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A202""}"
915,2,4,0.6492836302218605,0.4651579169409852,True,2,"[""duration_months"", ""credit_amount""]",0.4938886488043791,"{""status_checking_account"": ""A12"", ""duration_months"": 5, ""credit_history"": ""A30"", ""purpose"": ""A410"", ""credit_amount"": 2038, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 1, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 2, ""property"": ""A122"", ""age_years"": 32, ""other_installment_plans"": ""A141"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A202""}"
818,3,1,0.6395663880508571,0.4808030669974426,True,2,"[""duration_months"", ""credit_amount""]",0.29684408911937005,"{""status_checking_account"": ""A11"", ""duration_months"": 7, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 6693, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A102"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 43, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
818,3,2,0.6395663880508571,0.4761198564525734,True,2,"[""credit_amount"", ""other_debtors_guarantors""]",0.3469941419379622,"{""status_checking_account"": ""A11"", ""duration_months"": 36, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 394, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 43, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
