source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
121148,1,1,0.8425055548715851,0.4710925552933703,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse"", ""NumberOfDependents""]",1.7441996717639097,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 43.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.816411683, ""MonthlyIncome"": 5751.0, ""NumberOfOpenCreditLinesAndLoans"": 12.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 5.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 1.8}"
121148,1,2,0.8425055548715851,0.47835887707681224,True,7,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""MonthlyIncome"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse"", ""NumberOfDependents""]",2.1792623117508776,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 43.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.816411683, ""MonthlyIncome"": 21016.1, ""NumberOfOpenCreditLinesAndLoans"": 21.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 5.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.1}"
121148,1,3,0.8425055548715851,0.45231497555502864,True,6,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse"", ""NumberOfDependents""]",1.8491621518421133,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 43.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.1, ""MonthlyIncome"": 5751.0, ""NumberOfOpenCreditLinesAndLoans"": 12.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 5.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 1.8}"
11723,2,1,0.830272867997665,0.4822872739001563,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",1.798624950630174,"{""RevolvingUtilizationOfUnsecuredLines"": 0.4, ""age"": 30.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.570130264, ""MonthlyIncome"": 3300.0, ""NumberOfOpenCreditLinesAndLoans"": 58.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 4.0}"
11723,2,2,0.830272867997665,0.4863083454026109,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfTimes90DaysLate"", ""NumberOfDependents""]",1.1209218384970772,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 30.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.1, ""MonthlyIncome"": 3300.0, ""NumberOfOpenCreditLinesAndLoans"": 11.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 2.0, ""NumberOfDependents"": 2.2}"
11723,2,3,0.830272867997665,0.48577765187178906,True,4,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""MonthlyIncome"", ""NumberOfTimes90DaysLate""]",7.599730965829172,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 30.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.570130264, ""MonthlyIncome"": 238769.1, ""NumberOfOpenCreditLinesAndLoans"": 11.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 2.0, ""NumberOfDependents"": 4.0}"
11723,2,4,0.830272867997665,0.4480321554935593,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",1.0884368468955898,"{""RevolvingUtilizationOfUnsecuredLines"": 0.3, ""age"": 30.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.2, ""MonthlyIncome"": 3300.0, ""NumberOfOpenCreditLinesAndLoans"": 11.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 4.0}"
68537,3,1,0.8299363465056688,0.49765482860843585,True,6,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberRealEstateLoansOrLines"", ""NumberOfDependents""]",0.8295308479781355,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 26.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 1.444854638, ""MonthlyIncome"": 6500.0, ""NumberOfOpenCreditLinesAndLoans"": 21.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 2.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 8.0, ""NumberOfDependents"": 1.6}"
68537,3,2,0.8299363465056688,0.48753461087935335,True,6,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""MonthlyIncome"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate""]",2.346189738078523,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 26.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 48361.9, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 4.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 8.0, ""NumberOfDependents"": 0.0}"
68537,3,3,0.8299363465056688,0.4863535962430347,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate""]",1.0334687856975706,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 26.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 6500.0, ""NumberOfOpenCreditLinesAndLoans"": 7.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 4.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 8.0, ""NumberOfDependents"": 0.0}"
