source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
522,1,1,1.0,0.0,True,2,"[""installment_rate_percent"", ""existing_credits_at_bank""]",0.075,"{""status_checking_account"": ""A11"", ""duration_months"": 48, ""credit_history"": ""A30"", ""purpose"": ""A42"", ""credit_amount"": 7119, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 53, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 2, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
522,1,2,1.0,0.0,True,2,"[""duration_months"", ""installment_rate_percent""]",0.1375,"{""status_checking_account"": ""A11"", ""duration_months"": 27, ""credit_history"": ""A30"", ""purpose"": ""A42"", ""credit_amount"": 7119, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 1, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 53, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 2, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
522,1,3,1.0,0.0,True,2,"[""duration_months"", ""credit_amount""]",0.25949894362815706,"{""status_checking_account"": ""A11"", ""duration_months"": 13, ""credit_history"": ""A30"", ""purpose"": ""A42"", ""credit_amount"": 1201, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 53, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 2, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
522,1,4,1.0,0.0,True,2,"[""credit_amount"", ""savings_account_bonds""]",0.1743445692883895,"{""status_checking_account"": ""A11"", ""duration_months"": 48, ""credit_history"": ""A30"", ""purpose"": ""A42"", ""credit_amount"": 645, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 53, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 2, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
602,2,1,1.0,0.0,True,2,"[""duration_months"", ""other_debtors_guarantors""]",0.11666666666666665,"{""status_checking_account"": ""A12"", ""duration_months"": 8, ""credit_history"": ""A31"", ""purpose"": ""A46"", ""credit_amount"": 1837, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 34, ""other_installment_plans"": ""A141"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A172"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
602,2,2,1.0,0.0,True,2,"[""duration_months"", ""savings_account_bonds""]",0.12083333333333335,"{""status_checking_account"": ""A12"", ""duration_months"": 7, ""credit_history"": ""A31"", ""purpose"": ""A46"", ""credit_amount"": 1837, ""savings_account_bonds"": ""A63"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 34, ""other_installment_plans"": ""A141"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A172"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
602,2,3,1.0,0.368421052631579,True,2,"[""duration_months"", ""other_installment_plans""]",0.0875,"{""status_checking_account"": ""A12"", ""duration_months"": 15, ""credit_history"": ""A31"", ""purpose"": ""A46"", ""credit_amount"": 1837, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 34, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A172"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
602,2,4,1.0,0.0,True,2,"[""duration_months"", ""other_installment_plans""]",0.125,"{""status_checking_account"": ""A12"", ""duration_months"": 6, ""credit_history"": ""A31"", ""purpose"": ""A46"", ""credit_amount"": 1837, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 34, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A172"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
853,3,1,1.0,0.0,True,2,"[""duration_months"", ""savings_account_bonds""]",0.058333333333333334,"{""status_checking_account"": ""A11"", ""duration_months"": 16, ""credit_history"": ""A31"", ""purpose"": ""A40"", ""credit_amount"": 1442, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 32, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 2, ""job"": ""A172"", ""people_liable_maintenance"": 2, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
853,3,2,1.0,0.368421052631579,True,2,"[""duration_months"", ""credit_amount""]",0.026346874099683087,"{""status_checking_account"": ""A11"", ""duration_months"": 14, ""credit_history"": ""A31"", ""purpose"": ""A40"", ""credit_amount"": 938, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A74"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 32, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 2, ""job"": ""A172"", ""people_liable_maintenance"": 2, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
