source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
938,1,1,0.9613654100752708,0.40048448806048575,True,4,"[""duration_months"", ""credit_amount"", ""savings_account_bonds"", ""other_debtors_guarantors""]",0.4043035148372227,"{""status_checking_account"": ""A12"", ""duration_months"": 5, ""credit_history"": ""A32"", ""purpose"": ""A46"", ""credit_amount"": 2376, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 42, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
938,1,2,0.9613654100752708,0.48888537195581483,True,4,"[""duration_months"", ""savings_account_bonds"", ""installment_rate_percent"", ""other_debtors_guarantors""]",0.2958333333333333,"{""status_checking_account"": ""A12"", ""duration_months"": 25, ""credit_history"": ""A32"", ""purpose"": ""A46"", ""credit_amount"": 6288, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 42, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
938,1,3,0.9613654100752708,0.48433349812818394,True,4,"[""credit_amount"", ""savings_account_bonds"", ""installment_rate_percent"", ""other_debtors_guarantors""]",0.28276913473542686,"{""status_checking_account"": ""A12"", ""duration_months"": 60, ""credit_history"": ""A32"", ""purpose"": ""A46"", ""credit_amount"": 677, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 1, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 42, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
938,1,4,0.9613654100752708,0.45514737624903306,True,3,"[""duration_months"", ""savings_account_bonds"", ""installment_rate_percent""]",0.3208333333333333,"{""status_checking_account"": ""A12"", ""duration_months"": 13, ""credit_history"": ""A32"", ""purpose"": ""A46"", ""credit_amount"": 6288, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 1, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 42, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
832,2,1,0.9585021701713755,0.4629839396171852,True,3,"[""duration_months"", ""credit_amount"", ""savings_account_bonds""]",0.35884711418419285,"{""status_checking_account"": ""A11"", ""duration_months"": 15, ""credit_history"": ""A30"", ""purpose"": ""A49"", ""credit_amount"": 2244, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A75"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 29, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
832,2,2,0.9585021701713755,0.47064153030684075,True,3,"[""duration_months"", ""credit_amount"", ""savings_account_bonds""]",0.38554211082300965,"{""status_checking_account"": ""A11"", ""duration_months"": 13, ""credit_history"": ""A30"", ""purpose"": ""A49"", ""credit_amount"": 1288, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A75"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 29, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
832,2,3,0.9585021701713755,0.3736670942557896,True,3,"[""duration_months"", ""credit_amount"", ""savings_account_bonds""]",0.4186065495054259,"{""status_checking_account"": ""A11"", ""duration_months"": 5, ""credit_history"": ""A30"", ""purpose"": ""A49"", ""credit_amount"": 1302, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A75"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 29, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
832,2,4,0.9585021701713755,0.46001689363439907,True,3,"[""duration_months"", ""credit_amount"", ""savings_account_bonds""]",0.3666918755401901,"{""status_checking_account"": ""A11"", ""duration_months"": 6, ""credit_history"": ""A30"", ""purpose"": ""A49"", ""credit_amount"": 3788, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A75"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 29, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
818,3,1,0.9562100953881818,0.3411328496748557,True,3,"[""credit_amount"", ""savings_account_bonds"", ""other_debtors_guarantors""]",0.357754729664842,"{""status_checking_account"": ""A11"", ""duration_months"": 36, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 2437, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 43, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
818,3,2,0.9562100953881818,0.48385015972218975,True,3,"[""credit_amount"", ""savings_account_bonds"", ""other_debtors_guarantors""]",0.2723806779986555,"{""status_checking_account"": ""A11"", ""duration_months"": 36, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 6882, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 43, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
