source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
522,1,1,0.8210350097817456,0.4986912937286462,True,3,"[""duration_months"", ""savings_account_bonds"", ""housing""]",0.2625,"{""status_checking_account"": ""A11"", ""duration_months"": 9, ""credit_history"": ""A30"", ""purpose"": ""A42"", ""credit_amount"": 7119, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 53, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 2, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
522,1,2,0.8210350097817456,0.4944116925957003,True,3,"[""savings_account_bonds"", ""other_debtors_guarantors"", ""housing""]",0.15,"{""status_checking_account"": ""A11"", ""duration_months"": 48, ""credit_history"": ""A30"", ""purpose"": ""A42"", ""credit_amount"": 7119, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 53, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 2, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
522,1,3,0.8210350097817456,0.4992556395587157,True,3,"[""duration_months"", ""savings_account_bonds"", ""housing""]",0.2625,"{""status_checking_account"": ""A11"", ""duration_months"": 9, ""credit_history"": ""A30"", ""purpose"": ""A42"", ""credit_amount"": 7119, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 53, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 2, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
522,1,4,0.8210350097817456,0.4833256771703492,True,3,"[""savings_account_bonds"", ""installment_rate_percent"", ""other_debtors_guarantors""]",0.15,"{""status_checking_account"": ""A11"", ""duration_months"": 48, ""credit_history"": ""A30"", ""purpose"": ""A42"", ""credit_amount"": 7119, ""savings_account_bonds"": ""A65"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 1, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 53, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 2, ""job"": ""A173"", ""people_liable_maintenance"": 2, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
528,2,1,0.7993000465560312,0.4948473512338229,True,2,"[""duration_months"", ""savings_account_bonds""]",0.06666666666666667,"{""status_checking_account"": ""A11"", ""duration_months"": 32, ""credit_history"": ""A32"", ""purpose"": ""A43"", ""credit_amount"": 2302, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 31, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
528,2,2,0.7993000465560312,0.49237725681136596,True,2,"[""duration_months"", ""savings_account_bonds""]",0.14166666666666666,"{""status_checking_account"": ""A11"", ""duration_months"": 14, ""credit_history"": ""A32"", ""purpose"": ""A43"", ""credit_amount"": 2302, ""savings_account_bonds"": ""A63"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 31, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
528,2,3,0.7993000465560312,0.4864977776316607,True,2,"[""duration_months"", ""other_debtors_guarantors""]",0.1625,"{""status_checking_account"": ""A11"", ""duration_months"": 9, ""credit_history"": ""A32"", ""purpose"": ""A43"", ""credit_amount"": 2302, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A102"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 31, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
528,2,4,0.7993000465560312,0.39449631976094574,True,2,"[""duration_months"", ""other_debtors_guarantors""]",0.175,"{""status_checking_account"": ""A11"", ""duration_months"": 6, ""credit_history"": ""A32"", ""purpose"": ""A43"", ""credit_amount"": 2302, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 4, ""property"": ""A123"", ""age_years"": 31, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
998,3,1,0.7565414435088514,0.4897773025998212,True,2,"[""duration_months"", ""installment_rate_percent""]",0.2,"{""status_checking_account"": ""A11"", ""duration_months"": 15, ""credit_history"": ""A32"", ""purpose"": ""A43"", ""credit_amount"": 1845, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 1, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 23, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
998,3,2,0.7565414435088514,0.4994825100276547,True,2,"[""savings_account_bonds"", ""installment_rate_percent""]",0.1,"{""status_checking_account"": ""A11"", ""duration_months"": 45, ""credit_history"": ""A32"", ""purpose"": ""A43"", ""credit_amount"": 1845, ""savings_account_bonds"": ""A63"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 23, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
998,3,3,0.7565414435088514,0.44742608690901553,True,2,"[""duration_months"", ""savings_account_bonds""]",0.2041666666666667,"{""status_checking_account"": ""A11"", ""duration_months"": 8, ""credit_history"": ""A32"", ""purpose"": ""A43"", ""credit_amount"": 1845, ""savings_account_bonds"": ""A63"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 23, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
998,3,4,0.7565414435088514,0.4346354898533161,True,2,"[""duration_months"", ""installment_rate_percent""]",0.2041666666666667,"{""status_checking_account"": ""A11"", ""duration_months"": 8, ""credit_history"": ""A32"", ""purpose"": ""A43"", ""credit_amount"": 1845, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A73"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A93"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A124"", ""age_years"": 23, ""other_installment_plans"": ""A143"", ""housing"": ""A153"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
11,4,1,0.7543528055141254,0.4823453720300509,True,2,"[""duration_months"", ""savings_account_bonds""]",0.17083333333333334,"{""status_checking_account"": ""A11"", ""duration_months"": 19, ""credit_history"": ""A32"", ""purpose"": ""A49"", ""credit_amount"": 4308, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A72"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A122"", ""age_years"": 24, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
