source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
140095,1,1,0.9892044950803529,0.49687149833554334,True,2,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime60-89DaysPastDueNotWorse""]",7.63241846099185,"{""RevolvingUtilizationOfUnsecuredLines"": 0.3, ""age"": 25.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 98.0, ""DebtRatio"": 22.0, ""MonthlyIncome"": 5400.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 98.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 23.0, ""NumberOfDependents"": 0.0}"
140095,1,2,0.9892044950803529,0.4963884253637782,True,2,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse""]",5.6324184609918495,"{""RevolvingUtilizationOfUnsecuredLines"": 0.3, ""age"": 25.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 43.0, ""DebtRatio"": 22.0, ""MonthlyIncome"": 5400.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 98.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 98.0, ""NumberOfDependents"": 0.0}"
140095,1,3,0.9892044950803529,0.4250448519984791,True,2,"[""RevolvingUtilizationOfUnsecuredLines"", ""DebtRatio""]",2.876447463703423,"{""RevolvingUtilizationOfUnsecuredLines"": 0.2, ""age"": 25.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 98.0, ""DebtRatio"": 3.4, ""MonthlyIncome"": 5400.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 98.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 98.0, ""NumberOfDependents"": 0.0}"
140095,1,4,0.9892044950803529,0.37448576538791795,True,2,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse""]",8.670252312394357,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 25.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 13.0, ""DebtRatio"": 22.0, ""MonthlyIncome"": 5400.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 98.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 98.0, ""NumberOfDependents"": 0.0}"
86166,2,1,0.9872296014704838,0.37514710418310343,True,2,"[""RevolvingUtilizationOfUnsecuredLines"", ""DebtRatio""]",3.1737360531853005,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 27.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 98.0, ""DebtRatio"": 1.5, ""MonthlyIncome"": 5400.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 98.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 98.0, ""NumberOfDependents"": 0.0}"
86166,2,2,0.9872296014704838,0.3232545647077016,True,2,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfOpenCreditLinesAndLoans""]",0.8535856457276904,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 27.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 98.0, ""DebtRatio"": 22.0, ""MonthlyIncome"": 5400.0, ""NumberOfOpenCreditLinesAndLoans"": 41.0, ""NumberOfTimes90DaysLate"": 98.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 98.0, ""NumberOfDependents"": 0.0}"
86166,2,3,0.9872296014704838,0.43922817480962295,True,2,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTimes90DaysLate""]",7.38916923809561,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 27.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 98.0, ""DebtRatio"": 22.0, ""MonthlyIncome"": 5400.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 26.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 98.0, ""NumberOfDependents"": 0.0}"
86166,2,4,0.9872296014704838,0.4383883327393366,True,2,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTimes90DaysLate""]",3.4513353866931036,"{""RevolvingUtilizationOfUnsecuredLines"": 0.2, ""age"": 27.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 98.0, ""DebtRatio"": 22.0, ""MonthlyIncome"": 5400.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 65.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 98.0, ""NumberOfDependents"": 0.0}"
52044,3,1,0.9807690421235791,0.3758085427305883,True,2,"[""RevolvingUtilizationOfUnsecuredLines"", ""MonthlyIncome""]",11.372732312394357,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 52.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 98.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 397486.8, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 98.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 98.0, ""NumberOfDependents"": 0.0}"
52044,3,2,0.9807690421235791,0.49066887186937946,True,2,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberRealEstateLoansOrLines""]",1.713501535290596,"{""RevolvingUtilizationOfUnsecuredLines"": 0.4, ""age"": 52.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 98.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 5400.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 98.0, ""NumberRealEstateLoansOrLines"": 32.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 98.0, ""NumberOfDependents"": 0.0}"
