source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
11,1,1,0.9718182682991028,0.47691452503204346,True,2,"[""duration_months"", ""savings_account_bonds""]",0.2125,"{""status_checking_account"": ""A11"", ""duration_months"": 9, ""credit_history"": ""A32"", ""purpose"": ""A49"", ""credit_amount"": 4308, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A72"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A122"", ""age_years"": 24, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
11,1,2,0.9718182682991028,0.47691452503204346,True,2,"[""duration_months"", ""savings_account_bonds""]",0.20833333333333331,"{""status_checking_account"": ""A11"", ""duration_months"": 10, ""credit_history"": ""A32"", ""purpose"": ""A49"", ""credit_amount"": 4308, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A72"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A122"", ""age_years"": 24, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
11,1,3,0.9718182682991028,0.49153342843055725,True,2,"[""duration_months"", ""savings_account_bonds""]",0.19583333333333333,"{""status_checking_account"": ""A11"", ""duration_months"": 13, ""credit_history"": ""A32"", ""purpose"": ""A49"", ""credit_amount"": 4308, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A72"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A122"", ""age_years"": 24, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
11,1,4,0.9718182682991028,0.4839255213737488,True,2,"[""credit_amount"", ""savings_account_bonds""]",0.12509843464899645,"{""status_checking_account"": ""A11"", ""duration_months"": 48, ""credit_history"": ""A32"", ""purpose"": ""A49"", ""credit_amount"": 398, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A72"", ""installment_rate_percent"": 3, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A101"", ""present_residence_since"": 4, ""property"": ""A122"", ""age_years"": 24, ""other_installment_plans"": ""A143"", ""housing"": ""A151"", ""existing_credits_at_bank"": 1, ""job"": ""A173"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
818,2,1,0.9602251052856445,0.43218281865119934,True,2,"[""duration_months"", ""savings_account_bonds""]",0.175,"{""status_checking_account"": ""A11"", ""duration_months"": 6, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 15857, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A102"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 43, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
818,2,2,0.9602251052856445,0.3799881637096405,True,2,"[""duration_months"", ""other_debtors_guarantors""]",0.16666666666666669,"{""status_checking_account"": ""A11"", ""duration_months"": 8, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 15857, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 43, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
818,2,3,0.9602251052856445,0.4996890425682068,True,2,"[""credit_amount"", ""savings_account_bonds""]",0.19022856045327957,"{""status_checking_account"": ""A11"", ""duration_months"": 36, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 8556, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A102"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 43, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
818,2,4,0.9602251052856445,0.32122600078582764,True,2,"[""credit_amount"", ""savings_account_bonds""]",0.2454095841736291,"{""status_checking_account"": ""A11"", ""duration_months"": 36, ""credit_history"": ""A32"", ""purpose"": ""A410"", ""credit_amount"": 5683, ""savings_account_bonds"": ""A64"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 2, ""personal_status_sex"": ""A91"", ""other_debtors_guarantors"": ""A102"", ""present_residence_since"": 3, ""property"": ""A123"", ""age_years"": 43, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 1, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A191"", ""foreign_worker"": ""A201""}"
953,3,1,0.9569097757339478,0.46188175678253174,True,2,"[""credit_amount"", ""other_debtors_guarantors""]",0.2067463747239028,"{""status_checking_account"": ""A14"", ""duration_months"": 36, ""credit_history"": ""A32"", ""purpose"": ""A42"", ""credit_amount"": 2813, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 2, ""property"": ""A123"", ""age_years"": 26, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 2, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
953,3,2,0.9569097757339478,0.4845118224620819,True,2,"[""credit_amount"", ""other_debtors_guarantors""]",0.23578699702295208,"{""status_checking_account"": ""A14"", ""duration_months"": 36, ""credit_history"": ""A32"", ""purpose"": ""A42"", ""credit_amount"": 1301, ""savings_account_bonds"": ""A61"", ""present_employment_since"": ""A71"", ""installment_rate_percent"": 4, ""personal_status_sex"": ""A92"", ""other_debtors_guarantors"": ""A103"", ""present_residence_since"": 2, ""property"": ""A123"", ""age_years"": 26, ""other_installment_plans"": ""A143"", ""housing"": ""A152"", ""existing_credits_at_bank"": 2, ""job"": ""A174"", ""people_liable_maintenance"": 1, ""telephone"": ""A192"", ""foreign_worker"": ""A201""}"
