source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
2562,1,1,0.9599716067314148,0.38727161288261414,True,2,"[""PAY_0"", ""PAY_AMT2""]",2.8655590193204667,"{""LIMIT_BAL"": 140000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 40, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 2, ""PAY_5"": 2, ""PAY_6"": 2, ""BILL_AMT1"": 136785, ""BILL_AMT2"": 137175, ""BILL_AMT3"": 140773, ""BILL_AMT4"": 133147, ""BILL_AMT5"": 140350, ""BILL_AMT6"": 136475, ""PAY_AMT1"": 5051, ""PAY_AMT2"": 277548, ""PAY_AMT3"": 0, ""PAY_AMT4"": 12000, ""PAY_AMT5"": 0, ""PAY_AMT6"": 5000}"
2562,1,2,0.9599716067314148,0.44599491357803345,True,2,"[""PAY_0"", ""PAY_AMT2""]",2.195113382222234,"{""LIMIT_BAL"": 140000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 40, ""PAY_0"": -2, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 2, ""PAY_5"": 2, ""PAY_6"": 2, ""BILL_AMT1"": 136785, ""BILL_AMT2"": 137175, ""BILL_AMT3"": 140773, ""BILL_AMT4"": 133147, ""BILL_AMT5"": 140350, ""BILL_AMT6"": 136475, ""PAY_AMT1"": 5051, ""PAY_AMT2"": 205328, ""PAY_AMT3"": 0, ""PAY_AMT4"": 12000, ""PAY_AMT5"": 0, ""PAY_AMT6"": 5000}"
2562,1,3,0.9599716067314148,0.44599491357803345,True,2,"[""PAY_0"", ""PAY_AMT2""]",8.661798751471517,"{""LIMIT_BAL"": 140000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 40, ""PAY_0"": -2, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 2, ""PAY_5"": 2, ""PAY_6"": 2, ""BILL_AMT1"": 136785, ""BILL_AMT2"": 137175, ""BILL_AMT3"": 140773, ""BILL_AMT4"": 133147, ""BILL_AMT5"": 140350, ""BILL_AMT6"": 136475, ""PAY_AMT1"": 5051, ""PAY_AMT2"": 821941, ""PAY_AMT3"": 0, ""PAY_AMT4"": 12000, ""PAY_AMT5"": 0, ""PAY_AMT6"": 5000}"
2562,1,4,0.9599716067314148,0.44599491357803345,True,2,"[""PAY_0"", ""PAY_AMT2""]",8.337338657451712,"{""LIMIT_BAL"": 140000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 40, ""PAY_0"": -2, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 2, ""PAY_5"": 2, ""PAY_6"": 2, ""BILL_AMT1"": 136785, ""BILL_AMT2"": 137175, ""BILL_AMT3"": 140773, ""BILL_AMT4"": 133147, ""BILL_AMT5"": 140350, ""BILL_AMT6"": 136475, ""PAY_AMT1"": 5051, ""PAY_AMT2"": 791003, ""PAY_AMT3"": 0, ""PAY_AMT4"": 12000, ""PAY_AMT5"": 0, ""PAY_AMT6"": 5000}"
27536,2,1,0.9599415063858032,0.49462753534317017,True,4,"[""PAY_0"", ""PAY_AMT1"", ""PAY_AMT5"", ""PAY_AMT6""]",14.583228886559981,"{""LIMIT_BAL"": 250000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 51, ""PAY_0"": 0, ""PAY_2"": 2, ""PAY_3"": 2, ""PAY_4"": 2, ""PAY_5"": 2, ""PAY_6"": 2, ""BILL_AMT1"": 2487, ""BILL_AMT2"": 2487, ""BILL_AMT3"": 2487, ""BILL_AMT4"": 2487, ""BILL_AMT5"": 2487, ""BILL_AMT6"": 2487, ""PAY_AMT1"": 737024, ""PAY_AMT2"": 0, ""PAY_AMT3"": 0, ""PAY_AMT4"": 0, ""PAY_AMT5"": 296729, ""PAY_AMT6"": 276571}"
27536,2,2,0.9599415063858032,0.46073758602142334,True,4,"[""PAY_0"", ""PAY_6"", ""PAY_AMT1"", ""PAY_AMT2""]",6.972566186541551,"{""LIMIT_BAL"": 250000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 51, ""PAY_0"": -2, ""PAY_2"": 2, ""PAY_3"": 2, ""PAY_4"": 2, ""PAY_5"": 2, ""PAY_6"": 0, ""BILL_AMT1"": 2487, ""BILL_AMT2"": 2487, ""BILL_AMT3"": 2487, ""BILL_AMT4"": 2487, ""BILL_AMT5"": 2487, ""BILL_AMT6"": 2487, ""PAY_AMT1"": 386713, ""PAY_AMT2"": 237119, ""PAY_AMT3"": 0, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
27536,2,3,0.9599415063858032,0.4735959470272064,True,4,"[""PAY_0"", ""PAY_2"", ""PAY_AMT1"", ""PAY_AMT2""]",11.193418355666786,"{""LIMIT_BAL"": 250000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 51, ""PAY_0"": -2, ""PAY_2"": 1, ""PAY_3"": 2, ""PAY_4"": 2, ""PAY_5"": 2, ""PAY_6"": 2, ""BILL_AMT1"": 2487, ""BILL_AMT2"": 2487, ""BILL_AMT3"": 2487, ""BILL_AMT4"": 2487, ""BILL_AMT5"": 2487, ""BILL_AMT6"": 2487, ""PAY_AMT1"": 633791, ""PAY_AMT2"": 388989, ""PAY_AMT3"": 0, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
27536,2,4,0.9599415063858032,0.4980446696281433,True,4,"[""LIMIT_BAL"", ""PAY_0"", ""PAY_AMT1"", ""PAY_AMT6""]",13.700610007429896,"{""LIMIT_BAL"": 707700, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 51, ""PAY_0"": 0, ""PAY_2"": 2, ""PAY_3"": 2, ""PAY_4"": 2, ""PAY_5"": 2, ""PAY_6"": 2, ""BILL_AMT1"": 2487, ""BILL_AMT2"": 2487, ""BILL_AMT3"": 2487, ""BILL_AMT4"": 2487, ""BILL_AMT5"": 2487, ""BILL_AMT6"": 2487, ""PAY_AMT1"": 814275, ""PAY_AMT2"": 0, ""PAY_AMT3"": 0, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 418078}"
14950,3,1,0.9599415063858032,0.4499036371707916,True,4,"[""PAY_0"", ""PAY_2"", ""PAY_AMT1"", ""PAY_AMT2""]",3.801115151252849,"{""LIMIT_BAL"": 250000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 51, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 2, ""PAY_4"": 2, ""PAY_5"": 2, ""PAY_6"": 2, ""BILL_AMT1"": 2487, ""BILL_AMT2"": 2487, ""BILL_AMT3"": 2487, ""BILL_AMT4"": 2487, ""BILL_AMT5"": 2487, ""BILL_AMT6"": 2487, ""PAY_AMT1"": 94115, ""PAY_AMT2"": 248827, ""PAY_AMT3"": 0, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 0}"
14950,3,2,0.9599415063858032,0.47726747393608093,True,4,"[""PAY_0"", ""PAY_6"", ""PAY_AMT1"", ""PAY_AMT6""]",8.908677453403078,"{""LIMIT_BAL"": 250000, ""SEX"": 1, ""EDUCATION"": 1, ""MARRIAGE"": 1, ""AGE"": 51, ""PAY_0"": 0, ""PAY_2"": 2, ""PAY_3"": 2, ""PAY_4"": 2, ""PAY_5"": 2, ""PAY_6"": 0, ""BILL_AMT1"": 2487, ""BILL_AMT2"": 2487, ""BILL_AMT3"": 2487, ""BILL_AMT4"": 2487, ""BILL_AMT5"": 2487, ""BILL_AMT6"": 2487, ""PAY_AMT1"": 296711, ""PAY_AMT2"": 0, ""PAY_AMT3"": 0, ""PAY_AMT4"": 0, ""PAY_AMT5"": 0, ""PAY_AMT6"": 495726}"
