model,dataset,queries,requested_counterfactuals_per_query,generated_counterfactuals,valid_counterfactuals,validity_rate,query_coverage,mean_sparsity_changes,mean_proximity,mean_set_diversity,failed_queries,predictive_roc_auc,predictive_average_precision,predictive_accuracy,predictive_balanced_accuracy,predictive_f1,predictive_brier_score,predictive_n,predictive_positive_rate,predictive_predicted_positive_rate
logistic_regression,german_credit,10,4,35,35,1.0,1.0,4.285714285714286,0.3873561550808741,0.11132026473318608,0,0.8073142857142857,0.6433942050390978,0.748,0.7628571428571429,0.6557377049180327,0.18062158714105367,250,0.3,0.432
logistic_regression,give_me_some_credit,10,4,17,17,1.0,0.5,5.117647058823529,53.31932707920677,5.562534394911946,5,0.8004512322965317,0.32167572111799014,0.7725333333333333,0.7217853239554326,0.28041167538383666,0.18020002489689316,37500,0.06682666666666667,0.24928
logistic_regression,taiwan_credit,10,4,37,37,1.0,1.0,13.45945945945946,1.2005064741914433,0.5508720128346967,0,0.7160511026634176,0.4993624662202417,0.6804,0.6633997126380735,0.466977985323549,0.20854052085281863,7500,0.2212,0.3784
decision_tree,german_credit,10,4,40,40,1.0,1.0,2.7,0.13047080572361472,0.1137798505073786,0,0.6485333333333334,0.4415139162458226,0.632,0.6114285714285714,0.4772727272727273,0.28502911761642163,250,0.3,0.404
decision_tree,give_me_some_credit,10,4,40,37,0.925,1.0,4.0,0.5743506323490448,0.19818266907026943,0,0.688194415588106,0.2038270303594865,0.8423733333333333,0.6791853748865214,0.29387169991637796,0.12568646191351046,37500,0.06682666666666667,0.1564
decision_tree,taiwan_credit,10,4,39,39,1.0,1.0,10.179487179487179,0.4146299222917932,0.41601960390529485,0,0.6725087430944544,0.3764108491028797,0.702,0.6405838196226525,0.4405506883604506,0.24020584607983325,7500,0.2212,0.31146666666666667
random_forest,german_credit,10,4,32,32,1.0,1.0,3.03125,0.17621276439306635,0.1285072945676878,0,0.7968,0.6351175876309567,0.776,0.6952380952380952,0.5692307692307692,0.16506825136390363,250,0.3,0.22
random_forest,give_me_some_credit,10,4,39,39,1.0,1.0,4.564102564102564,17.496523555169954,5.850077605814703,0,0.8513796356652819,0.3724919342293642,0.9336,0.6380419518730859,0.3740573152337858,0.05278557099252691,37500,0.06682666666666667,0.039253333333333335
random_forest,taiwan_credit,10,4,38,38,1.0,1.0,12.447368421052632,1.4782299285432703,1.6260100156750859,0,0.7676800699757147,0.5475820862413103,0.8098666666666666,0.6737996323922091,0.5,0.14025925295631783,7500,0.2212,0.15906666666666666
adaboost,german_credit,10,4,31,31,1.0,0.9,3.2903225806451615,0.3520843207776879,0.1285714771599603,1,0.7940571428571428,0.6090518172324008,0.732,0.74,0.6298342541436464,0.21377972114774454,250,0.3,0.424
adaboost,give_me_some_credit,10,4,40,40,1.0,1.0,6.45,1.3296216551875202,0.16261700402104787,0,0.860504418474931,0.38247893637600516,0.7867733333333333,0.7768348476658249,0.3242055442866802,0.1877987732815767,37500,0.06682666666666667,0.24869333333333332
adaboost,taiwan_credit,10,4,29,29,1.0,1.0,14.517241379310345,1.3181875542924828,0.344487433870435,0,0.7682463110482849,0.5407615230753506,0.7678666666666667,0.7027232821053889,0.5275440976933514,0.2073033513575692,7500,0.2212,0.27013333333333334
xgboost,german_credit,10,4,35,35,1.0,1.0,3.257142857142857,0.23552640243651482,0.1332786740932808,0,0.8089904761904761,0.6380312527619092,0.752,0.7276190476190476,0.6172839506172839,0.1666207859745382,250,0.3,0.348
xgboost,give_me_some_credit,10,4,40,38,0.95,1.0,5.2894736842105265,10.334949875379925,0.24812151506658792,0,0.8689138808472513,0.40811586051862025,0.7991466666666667,0.7873544483124482,0.3398773006134969,0.13874911841575208,37500,0.06682666666666667,0.23744
xgboost,taiwan_credit,10,4,38,38,1.0,1.0,13.842105263157896,1.021544752186989,0.4613361494009537,0,0.7768954447778734,0.554475041765088,0.7606666666666667,0.7116952155570477,0.535575679172057,0.1789993116183804,7500,0.2212,0.29413333333333336
