source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
140095,1,1,0.9892044950803529,0.4175017714780468,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",10.512420081871259,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 25.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 89.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 5400.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 81.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 53.0, ""NumberOfDependents"": 0.0}"
140095,1,2,0.9892044950803529,0.4175017714780468,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",10.912420081871257,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 25.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 88.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 5400.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 73.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 58.0, ""NumberOfDependents"": 0.0}"
140095,1,3,0.9892044950803529,0.42507129956958073,True,3,"[""NumberOfTime30-59DaysPastDueNotWorse"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",29.100000018916926,"{""RevolvingUtilizationOfUnsecuredLines"": 1.0, ""age"": 25.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 22.0, ""MonthlyIncome"": 5400.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 3.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
140095,1,4,0.9892044950803529,0.44173196458631575,True,3,"[""NumberOfTime30-59DaysPastDueNotWorse"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",29.200000018916928,"{""RevolvingUtilizationOfUnsecuredLines"": 1.0, ""age"": 25.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 22.0, ""MonthlyIncome"": 5400.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 2.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
86166,2,1,0.9872296014704838,0.4632045553625801,True,3,"[""NumberOfTime30-59DaysPastDueNotWorse"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",29.100000018916926,"{""RevolvingUtilizationOfUnsecuredLines"": 1.0, ""age"": 27.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 22.0, ""MonthlyIncome"": 5400.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 3.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
86166,2,2,0.9872296014704838,0.46837248448657304,True,3,"[""NumberOfTime30-59DaysPastDueNotWorse"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",29.200000018916928,"{""RevolvingUtilizationOfUnsecuredLines"": 1.0, ""age"": 27.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 22.0, ""MonthlyIncome"": 5400.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 2.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
86166,2,3,0.9872296014704838,0.33461690897112123,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",24.212420081871254,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 27.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 5400.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 86.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
86166,2,4,0.9872296014704838,0.33402803420205807,True,4,"[""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",32.323250862692575,"{""RevolvingUtilizationOfUnsecuredLines"": 1.0, ""age"": 27.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 5400.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 3.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
52044,3,1,0.9807690421235793,0.4668191358331009,True,4,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",18.68916923809561,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 52.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 2.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 5400.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 59.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 48.0, ""NumberOfDependents"": 0.0}"
52044,3,2,0.9807690421235793,0.2928123209280122,True,4,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",21.88916923809561,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 52.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 71.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 5400.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 6.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
