source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
51478,1,1,1.0,0.0,True,2,"[""NumberOfOpenCreditLinesAndLoans"", ""NumberRealEstateLoansOrLines""]",1.6166666666666667,"{""RevolvingUtilizationOfUnsecuredLines"": 0.9999999, ""age"": 32.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.146370726, ""MonthlyIncome"": 5000.0, ""NumberOfOpenCreditLinesAndLoans"": 39.0, ""NumberOfTimes90DaysLate"": 2.0, ""NumberRealEstateLoansOrLines"": 20.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
51478,1,2,1.0,0.0,True,2,"[""MonthlyIncome"", ""NumberOfTimes90DaysLate""]",54.72521714285715,"{""RevolvingUtilizationOfUnsecuredLines"": 0.9999999, ""age"": 32.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.146370726, ""MonthlyIncome"": 1916882.6, ""NumberOfOpenCreditLinesAndLoans"": 2.0, ""NumberOfTimes90DaysLate"": 1.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
51478,1,3,1.0,0.0,True,2,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberRealEstateLoansOrLines""]",2.8891692380956107,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 32.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.146370726, ""MonthlyIncome"": 5000.0, ""NumberOfOpenCreditLinesAndLoans"": 2.0, ""NumberOfTimes90DaysLate"": 2.0, ""NumberRealEstateLoansOrLines"": 54.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
51478,1,4,1.0,0.0,True,2,"[""RevolvingUtilizationOfUnsecuredLines"", ""MonthlyIncome""]",28.189044392433452,"{""RevolvingUtilizationOfUnsecuredLines"": 0.4, ""age"": 32.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.146370726, ""MonthlyIncome"": 987644.0, ""NumberOfOpenCreditLinesAndLoans"": 2.0, ""NumberOfTimes90DaysLate"": 2.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
142053,2,1,1.0,0.0,True,1,"[""NumberRealEstateLoansOrLines""]",2.6,"{""RevolvingUtilizationOfUnsecuredLines"": 0.804260985, ""age"": 49.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 2.0, ""DebtRatio"": 0.187716792, ""MonthlyIncome"": 4900.0, ""NumberOfOpenCreditLinesAndLoans"": 5.0, ""NumberOfTimes90DaysLate"": 1.0, ""NumberRealEstateLoansOrLines"": 52.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 1.0}"
142053,2,2,1.0,0.0,True,2,"[""DebtRatio"", ""NumberRealEstateLoansOrLines""]",2.3164507702239927,"{""RevolvingUtilizationOfUnsecuredLines"": 0.804260985, ""age"": 49.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 2.0, ""DebtRatio"": 0.3, ""MonthlyIncome"": 4900.0, ""NumberOfOpenCreditLinesAndLoans"": 5.0, ""NumberOfTimes90DaysLate"": 1.0, ""NumberRealEstateLoansOrLines"": 46.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 1.0}"
142053,2,3,1.0,0.0,True,2,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfOpenCreditLinesAndLoans""]",0.36430760157411335,"{""RevolvingUtilizationOfUnsecuredLines"": 0.2, ""age"": 49.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 2.0, ""DebtRatio"": 0.187716792, ""MonthlyIncome"": 4900.0, ""NumberOfOpenCreditLinesAndLoans"": 20.0, ""NumberOfTimes90DaysLate"": 1.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 1.0}"
142053,2,4,1.0,0.0,True,2,"[""NumberOfOpenCreditLinesAndLoans"", ""NumberRealEstateLoansOrLines""]",0.9333333333333333,"{""RevolvingUtilizationOfUnsecuredLines"": 0.804260985, ""age"": 49.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 2.0, ""DebtRatio"": 0.187716792, ""MonthlyIncome"": 4900.0, ""NumberOfOpenCreditLinesAndLoans"": 28.0, ""NumberOfTimes90DaysLate"": 1.0, ""NumberRealEstateLoansOrLines"": 11.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 1.0}"
11617,3,1,1.0,0.0,True,1,"[""MonthlyIncome""]",37.08540571428571,"{""RevolvingUtilizationOfUnsecuredLines"": 0.9999999, ""age"": 26.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 1299189.2, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 1.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
11617,3,2,1.0,0.0,True,1,"[""MonthlyIncome""]",12.141525714285715,"{""RevolvingUtilizationOfUnsecuredLines"": 0.9999999, ""age"": 26.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 426153.4, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 1.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
