source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
26141,1,1,1.0,0.0,True,1,"[""BILL_AMT1""]",0.33912036204303936,"{""LIMIT_BAL"": 360000, ""SEX"": 2, ""EDUCATION"": 3, ""MARRIAGE"": 2, ""AGE"": 30, ""PAY_0"": -1, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": -1, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 506723, ""BILL_AMT2"": 19726, ""BILL_AMT3"": 26374, ""BILL_AMT4"": 9781, ""BILL_AMT5"": 8719, ""BILL_AMT6"": 18076, ""PAY_AMT1"": 10000, ""PAY_AMT2"": 13021, ""PAY_AMT3"": 9781, ""PAY_AMT4"": 0, ""PAY_AMT5"": 10000, ""PAY_AMT6"": 8752}"
26141,1,2,1.0,0.0,True,2,"[""BILL_AMT1"", ""PAY_AMT1""]",6.103939655490836,"{""LIMIT_BAL"": 360000, ""SEX"": 2, ""EDUCATION"": 3, ""MARRIAGE"": 2, ""AGE"": 30, ""PAY_0"": -1, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": -1, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 56610, ""BILL_AMT2"": 19726, ""BILL_AMT3"": 26374, ""BILL_AMT4"": 9781, ""BILL_AMT5"": 8719, ""BILL_AMT6"": 18076, ""PAY_AMT1"": 571672, ""PAY_AMT2"": 13021, ""PAY_AMT3"": 9781, ""PAY_AMT4"": 0, ""PAY_AMT5"": 10000, ""PAY_AMT6"": 8752}"
26141,1,3,1.0,0.0,True,1,"[""BILL_AMT1""]",0.25655678815281374,"{""LIMIT_BAL"": 360000, ""SEX"": 2, ""EDUCATION"": 3, ""MARRIAGE"": 2, ""AGE"": 30, ""PAY_0"": -1, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": -1, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 386231, ""BILL_AMT2"": 19726, ""BILL_AMT3"": 26374, ""BILL_AMT4"": 9781, ""BILL_AMT5"": 8719, ""BILL_AMT6"": 18076, ""PAY_AMT1"": 10000, ""PAY_AMT2"": 13021, ""PAY_AMT3"": 9781, ""PAY_AMT4"": 0, ""PAY_AMT5"": 10000, ""PAY_AMT6"": 8752}"
26141,1,4,1.0,0.0,True,2,"[""BILL_AMT4"", ""BILL_AMT5""]",0.8789610367510332,"{""LIMIT_BAL"": 360000, ""SEX"": 2, ""EDUCATION"": 3, ""MARRIAGE"": 2, ""AGE"": 30, ""PAY_0"": -1, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": -1, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 11816, ""BILL_AMT2"": 19726, ""BILL_AMT3"": 26374, ""BILL_AMT4"": 329776, ""BILL_AMT5"": 690314, ""BILL_AMT6"": 18076, ""PAY_AMT1"": 10000, ""PAY_AMT2"": 13021, ""PAY_AMT3"": 9781, ""PAY_AMT4"": 0, ""PAY_AMT5"": 10000, ""PAY_AMT6"": 8752}"
20657,2,1,1.0,0.0,True,2,"[""PAY_6"", ""PAY_AMT1""]",7.151541364358855,"{""LIMIT_BAL"": 50000, ""SEX"": 1, ""EDUCATION"": 3, ""MARRIAGE"": 2, ""AGE"": 31, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 0, ""BILL_AMT1"": 45194, ""BILL_AMT2"": 22298, ""BILL_AMT3"": 16055, ""BILL_AMT4"": 17281, ""BILL_AMT5"": 18996, ""BILL_AMT6"": 18553, ""PAY_AMT1"": 654854, ""PAY_AMT2"": 1500, ""PAY_AMT3"": 1500, ""PAY_AMT4"": 2000, ""PAY_AMT5"": 0, ""PAY_AMT6"": 1000}"
20657,2,2,1.0,0.0,True,1,"[""PAY_AMT2""]",6.065646064985357,"{""LIMIT_BAL"": 50000, ""SEX"": 1, ""EDUCATION"": 3, ""MARRIAGE"": 2, ""AGE"": 31, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 2, ""BILL_AMT1"": 45194, ""BILL_AMT2"": 22298, ""BILL_AMT3"": 16055, ""BILL_AMT4"": 17281, ""BILL_AMT5"": 18996, ""BILL_AMT6"": 18553, ""PAY_AMT1"": 1500, ""PAY_AMT2"": 579873, ""PAY_AMT3"": 1500, ""PAY_AMT4"": 2000, ""PAY_AMT5"": 0, ""PAY_AMT6"": 1000}"
20657,2,3,1.0,0.0,True,1,"[""PAY_AMT1""]",0.11832444881762053,"{""LIMIT_BAL"": 50000, ""SEX"": 1, ""EDUCATION"": 3, ""MARRIAGE"": 2, ""AGE"": 31, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 2, ""BILL_AMT1"": 45194, ""BILL_AMT2"": 22298, ""BILL_AMT3"": 16055, ""BILL_AMT4"": 17281, ""BILL_AMT5"": 18996, ""BILL_AMT6"": 18553, ""PAY_AMT1"": 12443, ""PAY_AMT2"": 1500, ""PAY_AMT3"": 1500, ""PAY_AMT4"": 2000, ""PAY_AMT5"": 0, ""PAY_AMT6"": 1000}"
20657,2,4,1.0,0.0,True,2,"[""BILL_AMT1"", ""BILL_AMT2""]",0.5026715537559298,"{""LIMIT_BAL"": 50000, ""SEX"": 1, ""EDUCATION"": 3, ""MARRIAGE"": 2, ""AGE"": 31, ""PAY_0"": 0, ""PAY_2"": 0, ""PAY_3"": 0, ""PAY_4"": 0, ""PAY_5"": 0, ""PAY_6"": 2, ""BILL_AMT1"": -116803, ""BILL_AMT2"": 569842, ""BILL_AMT3"": 16055, ""BILL_AMT4"": 17281, ""BILL_AMT5"": 18996, ""BILL_AMT6"": 18553, ""PAY_AMT1"": 1500, ""PAY_AMT2"": 1500, ""PAY_AMT3"": 1500, ""PAY_AMT4"": 2000, ""PAY_AMT5"": 0, ""PAY_AMT6"": 1000}"
16517,3,1,1.0,0.334651082846339,True,2,"[""LIMIT_BAL"", ""PAY_AMT3""]",2.0534987788313517,"{""LIMIT_BAL"": 891219, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 2, ""AGE"": 24, ""PAY_0"": 4, ""PAY_2"": 3, ""PAY_3"": 2, ""PAY_4"": 3, ""PAY_5"": 2, ""PAY_6"": 2, ""BILL_AMT1"": 38344, ""BILL_AMT2"": 37433, ""BILL_AMT3"": 38862, ""BILL_AMT4"": 39125, ""BILL_AMT5"": 39408, ""BILL_AMT6"": 40925, ""PAY_AMT1"": 0, ""PAY_AMT2"": 2335, ""PAY_AMT3"": 180805, ""PAY_AMT4"": 1225, ""PAY_AMT5"": 2300, ""PAY_AMT6"": 1396}"
16517,3,2,1.0,0.334651082846339,True,1,"[""PAY_AMT3""]",3.104479774394267,"{""LIMIT_BAL"": 40000, ""SEX"": 1, ""EDUCATION"": 2, ""MARRIAGE"": 2, ""AGE"": 24, ""PAY_0"": 4, ""PAY_2"": 3, ""PAY_3"": 2, ""PAY_4"": 3, ""PAY_5"": 2, ""PAY_6"": 2, ""BILL_AMT1"": 38344, ""BILL_AMT2"": 37433, ""BILL_AMT3"": 38862, ""BILL_AMT4"": 39125, ""BILL_AMT5"": 39408, ""BILL_AMT6"": 40925, ""PAY_AMT1"": 0, ""PAY_AMT2"": 2335, ""PAY_AMT3"": 301182, ""PAY_AMT4"": 1225, ""PAY_AMT5"": 2300, ""PAY_AMT6"": 1396}"
