source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
42751,1,1,1.0,1.0905371900505802e-18,True,3,"[""NumberOfTime30-59DaysPastDueNotWorse"", ""MonthlyIncome"", ""NumberOfTimes90DaysLate""]",83.71016,"{""RevolvingUtilizationOfUnsecuredLines"": 0.9999999, ""age"": 22.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 1.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 2251056.6, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 1.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 98.0, ""NumberOfDependents"": 0.0}"
42751,1,2,1.0,4.348195334088503e-12,True,3,"[""NumberOfTime30-59DaysPastDueNotWorse"", ""MonthlyIncome"", ""NumberOfTimes90DaysLate""]",63.50693428571428,"{""RevolvingUtilizationOfUnsecuredLines"": 0.9999999, ""age"": 22.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 2.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 1550943.7, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 2.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 98.0, ""NumberOfDependents"": 0.0}"
42751,1,3,1.0,0.17094128620886914,True,3,"[""NumberOfTime30-59DaysPastDueNotWorse"", ""MonthlyIncome"", ""NumberRealEstateLoansOrLines""]",95.56212857142857,"{""RevolvingUtilizationOfUnsecuredLines"": 0.9999999, ""age"": 22.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 9.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 2984375.5, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 98.0, ""NumberRealEstateLoansOrLines"": 28.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 98.0, ""NumberOfDependents"": 0.0}"
42751,1,4,1.0,0.0136464537342499,True,3,"[""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""MonthlyIncome""]",91.8795368544847,"{""RevolvingUtilizationOfUnsecuredLines"": 0.9999999, ""age"": 22.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 4.0, ""DebtRatio"": 0.1, ""MonthlyIncome"": 2886472.0, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 98.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 98.0, ""NumberOfDependents"": 0.0}"
85093,2,1,1.0,0.09475686044059826,True,2,"[""NumberOfTime30-59DaysPastDueNotWorse"", ""MonthlyIncome""]",89.89621142857143,"{""RevolvingUtilizationOfUnsecuredLines"": 0.9999999, ""age"": 50.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 8.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 2860100.4, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 98.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 98.0, ""NumberOfDependents"": 4.0}"
85093,2,2,1.0,0.042815231142107314,True,3,"[""MonthlyIncome"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",101.50323428571429,"{""RevolvingUtilizationOfUnsecuredLines"": 0.9999999, ""age"": 50.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 98.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 2986346.2, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 13.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 13.0, ""NumberOfDependents"": 4.0}"
85093,2,3,1.0,2.6637629756831554e-11,True,3,"[""NumberOfTime30-59DaysPastDueNotWorse"", ""MonthlyIncome"", ""NumberOfTimes90DaysLate""]",64.25096857142857,"{""RevolvingUtilizationOfUnsecuredLines"": 0.9999999, ""age"": 50.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 6.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 1633516.9, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 6.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 98.0, ""NumberOfDependents"": 4.0}"
85093,2,4,1.0,0.42469980484202274,True,3,"[""RevolvingUtilizationOfUnsecuredLines"", ""MonthlyIncome"", ""NumberOfTimes90DaysLate""]",91.31129694461818,"{""RevolvingUtilizationOfUnsecuredLines"": 1.1, ""age"": 50.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 98.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 2919466.3, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 11.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 98.0, ""NumberOfDependents"": 4.0}"
53483,3,1,1.0,0.0027287678856528245,True,2,"[""MonthlyIncome"", ""NumberOfTimes90DaysLate""]",94.46960857142857,"{""RevolvingUtilizationOfUnsecuredLines"": 0.9999999, ""age"": 26.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 98.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 2972336.3, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 1.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 98.0, ""NumberOfDependents"": 0.0}"
53483,3,2,1.0,0.0005498862248638513,True,3,"[""NumberOfTime30-59DaysPastDueNotWorse"", ""MonthlyIncome"", ""NumberOfTimes90DaysLate""]",72.65130571428571,"{""RevolvingUtilizationOfUnsecuredLines"": 0.9999999, ""age"": 26.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 31.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 2079195.7, ""NumberOfOpenCreditLinesAndLoans"": 0.0, ""NumberOfTimes90DaysLate"": 31.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 98.0, ""NumberOfDependents"": 0.0}"
