source_index,query_rank,counterfactual_number,original_default_probability,counterfactual_default_probability,valid,number_of_changes,changed_features,proximity,counterfactual
41214,1,1,0.988943338394165,0.49050185084342957,True,4,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""MonthlyIncome"", ""NumberOfTimes90DaysLate""]",5.150392882585778,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 40.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 1135.0, ""MonthlyIncome"": 144058.8, ""NumberOfOpenCreditLinesAndLoans"": 7.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 5.0, ""NumberOfDependents"": 0.0}"
41214,1,2,0.988943338394165,0.49050185084342957,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""MonthlyIncome"", ""NumberOfTimes90DaysLate"", ""NumberOfDependents""]",5.240392882585778,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 40.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 1135.0, ""MonthlyIncome"": 144058.8, ""NumberOfOpenCreditLinesAndLoans"": 7.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 5.0, ""NumberOfDependents"": 0.9}"
41214,1,3,0.988943338394165,0.12083743512630463,True,6,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""MonthlyIncome"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",4.08526504638227,"{""RevolvingUtilizationOfUnsecuredLines"": 0.0, ""age"": 40.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 1135.0, ""MonthlyIncome"": 72283.9, ""NumberOfOpenCreditLinesAndLoans"": 35.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 0.0}"
41214,1,4,0.988943338394165,0.4512929320335388,True,6,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""MonthlyIncome"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",5.360500501633397,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 40.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 1135.0, ""MonthlyIncome"": 146745.9, ""NumberOfOpenCreditLinesAndLoans"": 9.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 4.0, ""NumberOfDependents"": 0.0}"
42081,2,1,0.9870404601097107,0.423910528421402,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",1.113654823603572,"{""RevolvingUtilizationOfUnsecuredLines"": 0.3, ""age"": 33.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 1.0, ""DebtRatio"": 0.1, ""MonthlyIncome"": 5570.0, ""NumberOfOpenCreditLinesAndLoans"": 13.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 2.0}"
42081,2,2,0.9870404601097107,0.4092414379119873,True,6,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""MonthlyIncome"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse"", ""NumberOfDependents""]",35.50571867979509,"{""RevolvingUtilizationOfUnsecuredLines"": 0.5, ""age"": 33.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.430443367, ""MonthlyIncome"": 1188160.9, ""NumberOfOpenCreditLinesAndLoans"": 13.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 7.9}"
42081,2,3,0.9870404601097107,0.49814853072166443,True,7,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfTimes90DaysLate"", ""NumberRealEstateLoansOrLines"", ""NumberOfTime60-89DaysPastDueNotWorse"", ""NumberOfDependents""]",3.3161398152050596,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 33.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 1.0, ""DebtRatio"": 0.0, ""MonthlyIncome"": 5570.0, ""NumberOfOpenCreditLinesAndLoans"": 13.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 42.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 1.5}"
42081,2,4,0.9870404601097107,0.4783046245574951,True,5,"[""NumberOfTime30-59DaysPastDueNotWorse"", ""MonthlyIncome"", ""NumberOfTimes90DaysLate"", ""NumberRealEstateLoansOrLines"", ""NumberOfTime60-89DaysPastDueNotWorse""]",25.291291428571427,"{""RevolvingUtilizationOfUnsecuredLines"": 1.173509286, ""age"": 33.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.430443367, ""MonthlyIncome"": 785765.2, ""NumberOfOpenCreditLinesAndLoans"": 13.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 40.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 2.0}"
11723,3,1,0.9848716855049133,0.3165914714336395,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""NumberOfOpenCreditLinesAndLoans"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",1.3887090610672679,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 30.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.570130264, ""MonthlyIncome"": 3300.0, ""NumberOfOpenCreditLinesAndLoans"": 30.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 4.0}"
11723,3,2,0.9848716855049133,0.2826971411705017,True,5,"[""RevolvingUtilizationOfUnsecuredLines"", ""NumberOfTime30-59DaysPastDueNotWorse"", ""DebtRatio"", ""NumberOfTimes90DaysLate"", ""NumberOfTime60-89DaysPastDueNotWorse""]",1.1409218384970772,"{""RevolvingUtilizationOfUnsecuredLines"": 0.1, ""age"": 30.0, ""NumberOfTime30-59DaysPastDueNotWorse"": 0.0, ""DebtRatio"": 0.1, ""MonthlyIncome"": 3300.0, ""NumberOfOpenCreditLinesAndLoans"": 11.0, ""NumberOfTimes90DaysLate"": 0.0, ""NumberRealEstateLoansOrLines"": 0.0, ""NumberOfTime60-89DaysPastDueNotWorse"": 0.0, ""NumberOfDependents"": 4.0}"
